好的	OK
鏟屎官	n. Scoop+poo+official. The poo-scooping official. This Internet slang term is a playful nickname for cat owners because that’s what they do for their pet cats every day.  It is often used self-mockingly and rather proudly by cat owners.
葛優癱	n. Ge You slouch. This Internet slang term referring to the sitting posture of actor Ge You’s role in the classic sitcom I Love My Family (1993-1994). It became popular in summer 2016 to describe how people relax in the sweltering heat.
養成系	n. Cultivate/develop+series. The developing type. This Internet slang term describes a type of idols that sharpen their skills with the support of their fans along the way. They tend to start out as young trainees and grow with the fans.
霸氣側漏	<Expression> Swag+side leakage [as of sanitary towels]. This expression humorously describes a person’s excessive domineering presence or pompous display of expertise or fortune that makes people around him or her slightly uncomfortable.
結石姐	n. Sister Calculus. Here, “calculus” means a concretion of minerals formed within the body, especially in the kidney or gallbladder. This Internet slang term is a nickname for Jessie J because 結石 [jié shí] “calculus” sounds like “Jessie.”
藍瘦香菇	n. Blue+slim+shiitake mushroom. This Internet slang term is how a 24-year-old man from Nanning, Guangxi said 難受想哭 [nán shòu xiǎng kū] “Sad, want to cry” in the Nanning dialect. His teary monologue made him an Internet sensation overnight.
開掛	v. Originally referring to playing dirty in video games through a cheat code or a cheat cartridge, this Internet slang term is an alternative way of saying “[someone] is on fire/doing an incredibly great job as if she or he were cheating”
土偶	n. Indigenous & Unrefined+idol. Indigenous & Unrefined Idol. This Internet slang term is a nickname for Idol Producer, a Chinese reality boy group survival show produced by iQiyi.  The show was criticized for copying Produce 101 illegally.
蛋妞兒	n. Egg+lass. This Internet slang term is a nickname for the hunky Daniel Wu Yin-cho or Wu Yanzu. The slang term sounds like a nickname for a country girl in North China but it is adapted from the pronunciation of his English name “Daniel.”
雅蠛蝶	n. Literally “small elegant butterfly,” this Internet meme became popular around 2009. It sounds like the Japanese word yamete (止めて) “stop,” which is a stereotypical female line in Japanese porn movies. The butterfly species doesn’t exist.
油菜花	n. Canola flower/rape flower. This term is popular among Wallace Chung’s mainland fans and refers to talented fans who are creative, artistic, and/or tech-savvy. The namesake was created because it sounds like 有才華 [yǒu cái huá] “talented.”
武术	military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage); also called kungfu 功夫; CL:種|种[zhong3]
陳大發	n. Chen+make a big fortune. Chen Dafa. This Internet slang term is a nickname for Taiwanese actress Ivy Chen or Chen Yihan. She gave the nickname to herself. It is a nickname given to her by her, because she thought it was a funny nickname.
高考	college entrance exam (especially as abbr. for 普通高等學校招生全國統一考試|普通高等学校招生全国统一考试[Pu3 tong1 Gao1 deng3 Xue2 xiao4 Zhao1 sheng1 Quan2 guo2 Tong3 yi1 Kao3 shi4]); (Tw) entrance exam for senior government service posts (abbr. for 公務人員高等考試|公务人员高等考试)
敲黑板	V. To strike the blackboard with one’s knuckles or hand (to ask the students to pay attention). This Internet slang term is reminiscent of the teaching style of many Chinese teachers. This Internet slang term is used to emphasize something.
涼涼	adj./v. Cool, chilled. Originally the title of the theme song of the 2017 Chinese TV drama Eternal Love, this Internet slang term is now widely used humorously to describe someone or something that went downhill or became a complete failure.
剁手族	n. Hand-chopping gang. White-collar consumers whose obsessive online shopping sprees result in long bills. In hindsight, they are so guilty that they want to chop off their own hands to prevent themselves from placing orders on the Internet.
抖M	adj./n. Shake+M. Seriously masochistic. A seriously masochistic person. Derived from the Japanese wordドM in the ACG subculture, this Internet slang term refers to the tendency to derive sexual gratification from one’s own pain or humiliation.
心大	adj. Heart+big. This Internet slang term describes people who are so careless that they may put themselves or others in danger. It also describes people who are less susceptible to criticism or personal attacks because they don’t give a damn.
不會聊天	v. To not know how to chat. A person who doesn’t know how to chat tends to offend others intentionally or unintentionally. This Internet slang term is often used humorously as a mild criticism of the lack of consideration of others’ feelings.
霸道總裁	n. Imperious+executive. This Internet slang term refers to a chauvinist male character in romance novels and TV shows—he is a rich, powerful, and fatally attractive control freak who has a soft spot for a rather unlikely female love interest.
既視感	n. Originally きしかん in Japanese meaning “déjà vu”, the illusion of having previously experienced something actually being encountered for the first time. As an Internet slang term, it simply means “[someone or something] looks like/feels like…”
生無可戀	<Expression> There is nothing in life to long for. This Internet meme is a humorous alternative to words like “distraught,” “bummed out,” and “speechless.” A typical facial expression is actually an impassive one due to utmost frustration. 
習大大	n. Uncle Xi. This Internet slang term was created by 張洪銘 Zhang Hongming as a nickname for Xi Jinping, the President of China. Zhang explained that 大大 [dà dà] is a way of addressing a paternal uncle younger than one’s father in Shaanxi dialects.
炒CP	v. Hype+CP [Couple]. [Of the media] to hype two entertainers of either opposite sexes or the same sex as a couple, often for business purposes. Many TV dramas, films, and reality TV shows like pairing up entertainers to attract public attention.
招黑體質	n. Beckon+black+body type. The criticism-inducing body type. This Internet slang term is often used to describe celebrities who are easy targets for criticism or vilification by Internet users. It is often used by celebrities for self abasement.
日了狗	<Expression> Boinked the dog. 我真是日了狗了 [wǒ zhēn shì rì le gǒu le] “I had boinked the dog” is a vulgar way of whining “What have I done to deserve this?” It goes well with a facepalm.The term was originally an ID on Douyu TV (live streaming site).
拉仇恨	v. Pull+hatred. [Gaming terminology] To attract the monsters to attack oneself. As an Internet slang term, it means to deliberately boast or to say potentially offensive things. It typically refers to boasting in ways that could induce jealousy.
公開處刑	<Expression> Public penalization. This expression is used to shame a person who is not as good looking as the friend he or she shows up with. Appearing with someone better looking than you are is like being openly punished. Not a nice expression.
蹭熱度	v. Cadge+heat. To freeload the popularity of a more famous celebrity for personal gain, especially public attention. This Internet slang term is often used by the fans to attack someone whom they often consider to be less popular than their idol.
挽尊	v. To save the dignity [for the original poster]. This Internet slang term is used when you leave the first comment on a post that hasn’t been replied for a long time. The purpose of leaving the comment is to cheer up the neglected original poster.
顏即正義	<Expression> Appearance is justice. This expression is used to humorously defend one’s preference for nice-looking people, to the dismay of plain-looking people and those who are against body shaming. The expression is sometimes used sarcastically.
暴擊	n. <Gaming> critical hit. Attack that will create greater harm than the displayed data. This Internet slang term is often used to describe a jeering remark that is potentially hurtful or an unexpected situation that someone doesn’t want to encounter.
起来	(after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站[zhan4]); indicating completion; (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment; also pr. [qi3 lai5]
黑人問號	n. Black person+question marks. This Internet slang term derives from pictures of Nicholas Aaron “Nick” Young, an NBA player for the Los Angeles Lakers, with question marks added. This meme is used when you are perplexed, shocked, or speechless. 
攤手	v./n. To have one’s open palms face upwards. Smugshrug. This Internet slang term originally described the emoticon ¯\_(ツ)_/¯ and is now often used directly to show that you don’t give a damn about something or have to accept an unfavorable situation.
種草	v. Grow+grass. This Internet slang term compares recommending products to others to growing grass, because one plants the seeds of desire for the product in the listener’s mind. The speaker is usually a fashion blogger or a loyal consumer of a brand.
聊聊人生	v. To chat about life, a humorous euphemism for “I disagree,” “Are you kidding me,” and “Are you out of your mind. ” This Internet slang term is used when you find people’s words or actions silly or perplexing and you want to tease them a little bit.
壁咚	v. Wall+slapping sound. Originally “kabe-don” [かべドン] in the Japanese anime, this Internet slang term refers to a man forcing a woman against a wall with one hand OR leaning against a wall, making a slapping sound, and leaving the woman nowhere to go.
已婚少女	n. Married teenage girl. A married woman who still looks, thinks, and/or behaves like a teenage girl. This Internet slang term is often used by married women to describe themselves, because they want to maintain their youthful appearance or mentality.
領盒飯	v. To receive [one’s] boxed lunch. This Internet slang term describes a character exiting from a drama or movie because of death or other reasons. The term comes from the custom that actors get paid and receive boxed lunches on their last filming day.
A站	A site aka Acfun. B站 [B zhàn] B site aka bilibili. Both are interactive video sharing websites themed around anime, manga, game, movie, music, and TV fandom based in China. They also both feature “barrage,” a real-time on-screen user commentary system.
外貌協會	n. Appearance+association. The good looks club. This Internet slang term was first used to describe women who pick dates or spouses based on their looks—handsomeness outweighs everything else. Now it also refers to a preference for aesthetic qualities.
居老師	n. Teacher Ju. This Internet slang term is a nickname for Chinese actor Zhu Yilong who is most well-known for his role in the popular web series Guardian. 居 [jū] is the pronunciation of his surname 朱 [zhū] Zhu in the Wuhan dialect, his hometown dialect.
開黑	v. Open+black. <Gaming Terminology> To have audio chats or even face-to-face communication with the other players to have an edge on the opponents in a computer game. The behavior may enhance cooperation and increase the possibility of cheating as well.
腦洞	n. Brain+hole. As an Internet slang term, this is a vivid metaphor for imagination or creativity. 腦洞太大 “Having a super big hole in the brain” renders a person amusingly or ridiculously imaginative and creative. Sometimes this term is used sarcastically.
綠茶婊	n. Green tea+bitch. An ostensibly graceful and innocent young woman who is actually very calculating. This Internet slang term was created in 2013 to describe models and actresses who lead a dissipated life around the rich and powerful for personal gain.
自來水	n. Tap water. This Internet slang term refers to the Internet users who voluntarily post laudatory remarks online to promote a brand. This term was originally used to describe the viewers of Monkey King: Hero’s Back who recommend the movie on the Internet.
深柜男	n. Deep in the closet+male. Homosexual males who haven’t come out. They claim to be heterosexual and sometimes display anti-homosexual attitudes. Some of them date and/marry the opposite sex under social pressure and keep their sexual orientation a secret.
網癮少女	Internet addiction+teenage girl. Teenage girl with an addiction to the Internet. This Internet slang term is often used to describe young women who spend way too much time on the Internet, usually because they like watching TV shows or playing mobile games.
洗腦神曲	n. Brainwashing+epic+song. A pop song whose melody and lyrics are catchy and memorable. When it is stuck in your head, it can stay there for days. Sometimes this Internet slang term is slightly negative because the music is often not considered very classy.
在線	adj. On+line. Up to scratch. This Internet slang term is a compliment for someone or something that reaches a satisfactory level. For example, you can say an actor’s acting skills are online, meaning his or her acting skills meet the audience’s expectations.
直女癌	n. Straight woman cancer. The female form of “straight man cancer,” this Internet slang term describes women who submit to sexism and actively attack women’s liberation. They deride career women, single women, childless women and mothers who don’t have sons.
人生贏家	n. A winner in life. A person who achieves or even exceeds the mainstream definition of success. In China, such a person is typically heterosexual, nice-looking, highly educated, incredibly rich and/or powerful, married, and has one or more adorable children.
约定	to agree on sth (after discussion); to conclude a bargain; to arrange; to promise; to stipulate; to make an appointment; stipulated (time, amount, quality etc); an arrangement; a deal; appointment; undertaking; commitment; understanding; engagement; stipulation
備胎	n. Spare tire. Back burner. This Internet slang term refers to  a person to whom one is not presently committed, and with whom one maintains some degree of communication, in order to keep or establish the possibility of future romantic and/or sexual involvement.
翻墻	v. To climb over a wall. This Internet slang term means to climb over the Great Firewall of China, a censorship and surveillance project that blocks potentially unfavorable incoming data from foreign countries. The purpose is to access blocked overseas websites.
墻裂	adj. Wall+crack. This Internet slang term and 强烈 [qiáng liè] “strongly” are homophones. This meme is often used to recommend something; the image of a cracked wall is way more vivid than the original word. Imagine someone smacking a wall and speaking effusively.
負能量	n. Negative energy. People or things that are of or cause toxic emotions like excessive and/or unnecessary guilt, shame, anger, self-loathing, depression, regret, bitterness, jealousy, and resentment. Negative energy saps people of their motivation and strength.
宇宙觀	n. Universe+view. Adapted from the word “worldview,” this Internet slang term is often used as a precept reminding people not to take themselves too seriously: Look at yourself from the perspective of the universe, and you’ll realize how trivial your problems are.
鬼畜	n./adj. Ghost+beast. To inflict suffering. Originally an ACG term, this neologism often refers to a video editing technique that pieces together dialogue and background music for humorous value. Some sounds are looped at a high speed, which might cause discomfort.
作出	to put out; to come up with; to make (a choice, decision, proposal, response, comment etc); to issue (a permit, statement, explanation, apology, reassurance to the public etc); to draw (conclusion); to deliver (speech, judgment); to devise (explanation); to extract
为I做E	Being the Introverts’ Extrovert. e.g.  introverts talk about the times they’ve been forced into social activity by the lack of a natural extrovert in their friend group.  is also having a homosexual connotation as the slang parodizes the homophonous gay term "為愛做一.”
什麼鬼	What the devil [is that/are you talking about]? This Internet slang term is often coupled with this emoticon [笑cry] which means 笑cry [xiào cry] “laugh to the point of crying”. You don’t use this term when you are mad or upset or confused; use it when you are amused.
老总	boss; sir (person with a leading role in an organization); (after a surname) high ranking commander in the PLA; (Qing dynasty) high ranking government official; (old) courteous term used by the general populace in addressing a rank-and-file soldier or police officer
磚家	n. Brick+expert. Charlatans. This Internet slang term and 專家 [zhuān jiā] are homophones. It is a cynical nickname for bogus experts who mislead the public with irresponsible or unreliable comments. Their credibility is jeopardized by their own ignorance or depravity.
下来	to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders)
趕腳	n./v. Rush+feet. Feelings. While the original meaning of this word is “to hire oneself to transport goods with one’s own donkey, mule, etc.” As an Internet slang term, it means 感覺 [gǎn jué] “feeling” or “to feel.” It mimics the Northeastern accent for humorous effect.
卵巢彩票	<Expression> The ovarian lottery. This expression is quoted from Warren Buffet who attributed his success to winning the “ovarian lottery.” In China, this Internet slang term is used to lament one’s misfortune of not being born with a silver spoon in his or her mouth.
抱緊我	Hold me tight. This phrase is used after voicing an opinion to invite others to side with you. It is also used to ask others to tell you if they had the same experience as you did. It originated in a weibo uproar in February, 2015 concerning a dress of disputed colors.
陳獨秀	n. Chen Duxiu. As an Internet slang term, it does not refer to Chen Duxiu, a Chinese revolutionary socialist, educator, philosopher, and author, who co-founded the Chinese Communist Party (with Li Dazhao) in 1921, serving from 1921 to 1927 as its first General Secretary.
画风突变	A sudden change in the painting style. This Internet slang term is often used to accentuate the contrast between one’s responses in different situations. It also refers to an unexpected twist in the story. Humor is often involved in the context where this term is applied.
鱸魚	n. Bass, any of various North American freshwater fish with lean flesh (especially of the genus Micropterus). This Internet slang term is a derogatory nickname for Chinese talk show host Chen Luyu because of similar pronunciation. Sexism is evident in the use of this term.
鳳凰男	n. Phoenix man. This Internet slang term refers to self-made men of humble roots. This group has been widely discussed because of their marital conflicts typically with “peacock women” and their emotional enmeshment with their families of origin. The implication is negative.
本命	n. Honmei. True feeling. This Internet slang term comes from the Japanese phrase “hon mei choco” (本命チョコ — true feeling chocolate — the chocolate given by women on Valentine’s Day to men whom the giver has romantic feelings for). In China, it often refers to your favorite star.
抖S	adj./n. Shake+S. Seriously sadistic. A seriously sadistic person. Derived from the Japanese wordドS in the ACG subculture, this Internet slang term refers to the tendency to derive pleasure, especially sexual gratification, from inflicting pain, suffering, or humiliation on others.
我想靜靜	<Expression> I want some quiet time. This Internet slang term is used to when you are shocked. The expression is sometimes followed by 別問我靜靜是誰 [bié wèn wǒ jìng jìng shì shuí] Don’t ask me who Jingjing is, because an alternative interpretation of the expression is “I miss Jingjing.”
傲嬌	adj. Originated from the Japanese ACG [Anime, Comic and Games] sub-culture, “tsundere” [ツンデレ] describes a person who is initially cold and even hostile towards another person before gradually showing their warm and even coy side over time. Now the term is also used to mean “sassy”.
保持围笑	<Expression> Maintain the smile [to mask one’s true feelings]. This expression is often used ironically to reveal that one repressed his or her true feelings under the pressure to maintain good relationships with others. 围笑 [wéi xiào] is a phonetic deviation of 微笑 [wēi xiào] “smile.”
翻牌	n. To flip the name plates. In ancient China, the emperor chose who to serve him at night by flipping the name plates of consorts. It is now a metaphor for being responded by someone you admire (such as your favorite star) on Weibo or being chosen to meet or interact with him or her.
佛系追星	n. Buddhist+sect+chase+stars. The Buddhist fandom. This Internet slang term refers to supporting a celebrity in a calm and peaceful way. A Buddhist fan does not engage in online battles against the fans of other celebrities. He or she is not too emotionally invested in the idol either.
鍵盤俠	n. Keyboard+knight-errant. People who like going on a rant on the Internet. They are cynical and judgmental without the ability to make a difference through action. 噴 [pēn] v. To spurt, spout, gush. This Internet slang term means “to go on a rant,” often used to describe Internet trolls.
小確喪	n. Little+definite+frustration. A sarcastic antonym of 小确幸 [xiǎo què xìng] “Little definite happiness,” this Internet slang term was originally the title of an Internet pop song. Now it is used to describe the working-class youth’s certainty about daily nuisances and the drudgery of work.
摸頭殺	n. Gently caress and stroke the head+kill. Originating from the Japanese manga trope of a guy caressing a gloomy girl’s head to comfort her, this Internet slang term is now regarded as a favorable flirting or titillating technique (effective only when used by one’s love interest or idol).
李澤言	n. Li Zeyan, one of the main male characters in Love and Producer, a mobile game about dating and relationships. He is the CEO of Huarui in the financial services industry. His supernatural power is time manipulation. This character became popular on China’s social media in December, 2017.
了解一下	<Expression> Get to know it. This expression is used to invite or request someone to learn more about something. A level of sarcasm is present. The humor involved is that this phrase is originally used widely among sales people in sentences like “Do you want to learn more about [a product]?”
道友	n. Fellow Taoist priests. This Internet slang term is used humorously to describe people who share your hobbies or values. It is also a euphemism for drug users, because of the stereotype that they are so pale and gaunt that they look like Taoist priests who are believed to become immortals.
抗日神劇	n. Epic dramas of the War of Resistance against Japan. This Internet slang term mocks TV dramas that blend history with fantasy to over-glorify the Chinese army in the War of Resistance against Japan. Such dramas are widely criticized by both the media and Internet users for distorting history.
偏偏	(indicating that sth turns out just the opposite of what one would wish) unfortunately; as it happened; (indicating that sth is the opposite of what would be normal or reasonable) stubbornly; contrarily; against reason; (indicating that sb or a group is singled out) precisely; only; of all people
表情管理	n. Facial expression management. This Internet slang term refers to celebrities’ management of their facial expressions in public, especially in regards to maintaining an upbeat, pleasant personal image despite how they feel inside. This term describes the emotional labor that celebrities undertake.
課代表	n. Class representative. This Internet slang term refers to people who are good at explaining a hot topic for other Internet users. Internet users often call for a “class representative” humorously when they want to understand a complicated issue so that they don’t have to read about it on their own.
擔當	n. [Role] assumption. This Internet slang term is used after a noun to describe a task or challenge that one takes on. For example, in “Bounty Hunters”, Wallace Chung assumed the role of a jester (喜劇擔當 [xǐ jù dān dāng]), strategist (謀略擔當 [móu luè dān dāng]), and food junkie (吃貨擔當 [chī huò dān dāng]).
叫獸	n. Roaring+beast. Depraved professors. This Internet slang term and 教授 [jiào shòu] “professors” are homophones. It is a cynical nickname for scholars who mislead the public with irresponsible comments or sexually harass the students. Their credibility is jeopardized by their own ignorance or depravity.
輕拍	v. To hit gently. Often included in sentences like “Please hit lightly,” this Internet slang term is often used as a request for mild, constructive criticism from other Internet users when one expresses an opinion that’s potentially controversial. The equivalent in English would be “Don’t be too harsh.”
吸貓	v. Sniff+cat. (Of a cat owner) to sniff the cat. This Internet slang term is often used by cat owners to describe their love for cats. They can’t help hugging and playing with the cats as soon as they see them, and they even like sniffing the smell of cats. The term mimics the word 吸煙 [xī yān] “smoking.”
逆天改命	<Expression> Defy heaven and change one’s destiny. This expression comes from the TV series Fighter of the Destiny. The protagonist Chen Changsheng is plagued with an incurable illness, fated not to live past the age of twenty. He is therefore determined to find the magic stone that will change his fate.
秒刪	v. Second+delete. To delete within seconds. To delete swiftly. This Internet slang term is often used to describe celebrities’ quick deletion of their Weibo posts. To their chagrin, those posts are often screencropped by Internet users before deletion and prompted more discussions due to instant deletion.
會聊天	v. To know how to chat. A conversationalist who is polite, respectful, understanding, and interesting is touted as someone who knows how to chat. This Internet slang term celebrates one’s high EQ. In the Chinese Internet culture, a high IQ is predominately defined as being polite and considerate of others.
麼麼噠	n. 麼 [mē] is an onomatopoeia that mimics the sound of a gentle kiss aka “mwa,” [or chup in Thai, schmatz in German, mats-muts in Greek, umma in Malayalam, and chu in Japanese]. This Intenernet term imitates the form of 萌萌噠 [méng méng da] and has been a popular way among Chinese young people to show affection.
豬精女孩	n. <Fandom Terminology> Pig spirit+girl. This sexist Internet slang term originally referred to female fans who eat a lot like pigs and feel so good about themselves and therefore are annoying to others. Now it also refers to fat, ugly women with a histrionic personality. Sometimes it is used for self-mockery.
總攻	n. Attack all around. A person who launches an all-around attack. A person who takes charge of the situation and is able to make others obey him or her. This Internet slang term comes from the Japanese ACG culture, especially Boy’s Love-themed works. The term is often used positively to describe a natural leader.
網感	n. Web+sense. The level of interactivity with the viewers on the Internet. This Internet slang term is often used as a standard for evaluating TV shows. A TV program with a good web sense has a large fan base on the Internet, satisfies Internet users’ aesthetic needs, and sparks heated discussions on the Internet.
友盡	v. Friend+over. To sever a friendship. This Internet slang term is often used as a humorous reply to a friend’s prank or offensive comment or a joking comment on a friend’s amazing strength that makes you feel sorry for your mediocrity. Yet, sometimes people do mean it when they say to you, “Friendship terminated.”
母職懲罰	n. Mother’s role+punishment. Punishment caused by fulfilling the role of a mother. This Internet slang term refers to the disadvantages that a woman has at home and work because of her role as a mother—such as more unpaid housework, discrimination in job search, lower income, and fewer career advancement opportunities.
碰瓷	(coll.) to scam sb by setting up an "accident" in which one appears to have sustained damage or injury caused by the scam victim, then demanding compensation (variations include putting "expensive" porcelain in a place where it is likely to be knocked over by passers-by, and stepping into the path of a slow-moving car)
大豬蹄子	Big pig’s foot. Trotter. This Internet slang term refers to an unwelcome man, especially a man who is not sensitive to women’s emotional needs, a fickle man who turns cold to a woman after they become a couple, or a man who is a playboy. The meme went popular in August, 2018 as a generic complaint about men’s shortcomings.
厉害	(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding; (of a person) stern; strict; harsh; shrewd; tough; (of an animal) fierce; (of a resemblance) striking; (of liquor or chili pepper) strong; (of bacteria) virulent
約炮	v. Appointment+cannon. To have casual sex such as one-night stands and other related activity. This Internet slang term is created from a male points of view because it is a combination of 約會 [yuē huì] “to have a date” and 打炮 [dǎ pào] “1) To open fire with artillery, 2) a slang term for having sex [with a prostitute], or 3) to jerk off.”
洪荒之力	n. Primeval power. Catastrophically strong physical strength. This Internet slang term came into popularity because of the 2015 TV drama The Journey of Flower in which the character Hua Qiangu aka Demon God has the preternatural, catastrophic power. Currently the meme is used to describe one’s physical strength or one’s urge to do something.
跳戲	v. Jump+drama. [Of an actor or actress] to give unconvincing performance. The reasons vary. It could be because the viewers are accustomed to seeing the actor or actress cast in a different type of role, because the performer’s previous acting in a similar role left a deeper impression on the audience, or because the storyline is problematic.
微博淪陷	v. [Someone’s] Weibo account+occupied. [Someone’s, usually a celebrity’s] Weibo account is inundated with Internet users’ comments. This Internet slang term is often used to describe the situation where a celebrity grabbed the headlines and then another celebrity related to him or her suddenly received a large number of comments on social media.
劃掉	v. To cross out [a word]. This Internet slang term is often used humorously to correct yourself. You usually insert the Internet slang term between the original word and the correction. The original word shows your true intention while the correction is the result of your self-censorship. E.g. I admire my idol’s appearance, cross that out, talent.
反差萌	n. Contrast+cuteness. This Internet slang term comes from the Japanese ACG subculture and refers to the adorableness accentuated by the contrast between a character’s sex and gender, age and appearance, biological age and psychological age, identity and personality, past personality and current personality, public persona and true personality, etc.
愛無能	n. Inability to love. This Internet slang term refers to some people’s inability to enter a relationship. The reasons vary. Some people are traumatized by past relationships, some are too narcissistic to love others, some are afraid of commitment, some repress their feelings too much…Some people attribute their singledom to their inability to love.
土創	n. Indigenous & Unrefined+create. Indigenous & Unrefined Create. This Internet slang term is a nickname for Produce 101, a Chinese reality television show spinoff of the South Korean television show Produce 101. The Chinese name of the show is literally Create 101. The show was criticized for the caliber of its contestants as well the quality of production.
白嫖飯	n. Free+patronize+fan. Fans who patronize [a prostitute] for free. Here “prostitute” actually refers to an idol. This Internet slang term is a pejorative term for fans who are not willing to spend money or take part in social media campaigns for their idols. They only want to enjoy the idols’ works for free without making any contribution to the idols’ careers.
鎖場	v. To lock the auditorium. This Internet slang term describes the phenomenon that ardent fans purchase one to two movie tickets for each movie auditorium where their idols’ movie is scheduled to be screened, in order to give theatrical exhibitors the false impression that their idols’ movies are very popular so that the movie would be screened at more movie theaters.
天仙攻	n. Fairy+attack. This Internet slang term is the fans’ nickname for actress Liu Yifei or Crystal Liu in 2015. Liu Yifei is famous for her role in The Return of the Condor Heroes as the beautiful and elegant Xiaolongnü. She also dubbed “Sister Fairy.” The new nickname was originally used to express the fans’ admiration for her dashing and slightly masculine look when dressed in suits.
躺槍	v. “Lying down [but still got] shot. ” Short for 躺著也中槍 [tǎng zhe yě zhòng qiāng] “getting shot while lying [on the floor]”, this Internet slang term is used to describe people being criticized or mentioned in an unwanted way even when they deliberately try to avoid it. People mentioned or blamed for what they are not responsible for often use this Internet slang term for self-mockery.
送你上墻	<Expression> Send you onto the wall. Send you to [the section of] hot comments [which are often automatically placed at the top]. This expression is often used to express one’s approval of a comment on a social media post because it is well-written or funny. The Internet users who use this expression usually click “like” on the comment too to make it pinned to the top of the comment section.
塘主	n. [Fish] pond owner. This Internet slang term is a pejorative nickname for Zhang Han, because his famous line in the TV show Boss & Me:  “I want to let everyone know: This fish pond, is now under your management by contract.” People jeer his role for making a ludicrous confession of love by mentioning a fish pond. The nickname implies discrimination against country people and contempt for Zhang Han.
帶節奏	v. Lead+rhythm. <Gaming terminology> To instigate a fight. This Internet slang term is originally used to describe a gamer who determines the strategies for the whole team in a group video or computer game. Now it is used to describe an Internet user who misleads others with wrong information or offensive language in online discussions and instigates verbal fights among groups holding opposing views.
少女心	n. Teen girl’s heart. A person with a teen girl’s heart is girly, dreamy, sensitive, vigorous, and sentimental. This Internet slang term is often used positively to describe a person who unapologetically adores girly toys and longs for romantic chance encounters with male celebrities like a moony teenage fangirl. This term sometimes runs the risk of perpetuating gender stereotypes about girls and teenagers.
黑科技	n. Black technology. This term first appeared in フルメタル・パニックor Full Metal Panic!, a series of light novels written by Shoji Gatoh and illustrated by Shiki Douji, and referred to technology that is far more advanced than those of the real world. As a Chinese Internet slang term, it describes awe-inspiring technology that is beyond the understanding of the average people. Sometimes this term is used sarcastically.
土嗨	adj. rustic+excited. This Internet slang term was originally used to describe an electronic dance music dilettante who mistakes DJ for electronic dance music. Now it is commonly used to describe Chinese electronic dance music that sound amateurish by international standards. The contempt for unsophisticated composers is quite obvious, judged from the use of the character 土 [tǔ] “uncouth, unsophisticated, rural.”
手撕鬼子	n. To lacerate the devils [a term of abuse for foreign invaders, particularly Japanese invaders] by hand. This Internet slang term pokes fun at the 2011 Chinese TV drama The Curious Maestros against Japanese Invasion in which a Kungfu master tears up the Japanese invaders in the War of Resistance against Japan (1937-1945). The plot was berated online and by state-run newspapers like People’s Daily for distorting history.
實力	adj./adv. Derived from the original noun “capability,” this Internet slang term is used as an adjective meaning “real,” or “evidence-based” and as an adverb meaning “strongly” and “effectively. ” This term is often used humorously or satirically. For example, 實力裝逼 [shí lì zhuāng bī] v. to try hard to impress others by pretending to be better than one really is. 實力心疼 [shí lì xīn téng] v. To really feel sorry for [someone].
蛙哥	n. Frog+brother. Brother frog. This Internet slang term is a tongue-in-cheek mutation of 五阿哥 [wǔ à gē] The fifth brother who was Prince Rong or Yongqi of the Qing dynasty. It became a nickname for actor Alec Su or Su Yongpeng who played the role of Prince Rong on My Fair Princess or Princess Return Pearl in 1998. If you say  五阿哥 [wǔ à gē] fast enough and with a Taiwanese Mandarin accent as Alec Su did, it will sound like 蛙哥 [wā gē].
高仿號	n. High+imitate+account. Weibo accounts that pretend to be owned by celebrities in order to attract followers. Such accounts often steal celebrities’ pictures and imitate their writing styles. Oversharing is another common weakness among those fake accounts. When an celebrity posts weibos too often or displays qualities that are little known to the public on Weibo, their fans will also quip that those celebrities’ weibo accounts are fakes.
三歲	n. Three-year-old. This Internet slang term is often coupled with someone’s last name. It became popular first when used to describe Hong Kong actor Francis Ng aka Wu Zhenyu when he appeared with his son on the reality TV show Where Are We Going, Dad in 2014. Netizens dubbed him “Wu Three-Year-Old”, amused by his mischievous and childlike personality on the show as well as on Weibo. The meme has been widely used to describe many beloved celebrities.
老鹿蹣跚	<Expression> An old deer staggers. This expression describes the reaction of unmarried people in their late 20s or older to their crushes. As opposed to 小鹿亂撞 [xiǎo lù luàn zhuàng] “A fawn rushes impetuously, an idiom that describes a young person’s restless state due to fear or strong emotions [upon seeing his or her crush],” this expression pokes fun at older unmarried people’s reluctance to be emotionally invested in the love interest for fear of getting hurt.
反向育儿	reverse parenting. While past generations of parents in China maintained a serious demeanor and relied on punishments as a form of discipline, the post-’90s generation is embracing a different approach: When their kids lay on the floor in an ice cream store, parents do the same. If the children throw away a toy, parents throw away others too. Some even go to extremes: putting their kids’ studies on hold to play video games for hours on end, just as their children desired.
