癌症	/cancer/
随时	/at any time; at all times/at the right time; whenever necessary/
随手	/conveniently/without extra trouble/while doing it/in passing/
缩短	/to curtail/to cut down/
太太	/married woman/Mrs./Madam/wife/CL:個|个[ge4],位[wei4]/
谈判	/to negotiate/negotiation/talks/conference/CL:個|个[ge4]/
坦率	/frank (discussion)/blunt/open/
逃避	/to escape/to evade/to avoid/to shirk/
特殊	/special/particular/unusual/extraordinary/
特征	/characteristic/diagnostic property/distinctive feature/trait/
疼爱	/to love dearly/
提纲	/outline/synopsis/notes/
提问	/to question; to quiz; to grill/
体会	/to know from experience/to learn through experience/to realize/understanding/experience/
体现	/to embody/to reflect/to incarnate/
调皮	/naughty/mischievous/unruly/
挑战	/to challenge/challenge/
痛苦	/pain/suffering/painful/CL:個|个[ge4]/
投入	/to throw into/to put into/to throw oneself into/to participate in/to invest in/absorbed/engrossed/
透明	/transparent/(fig.) transparent; open to scrutiny/
土地	/local god/genius loci/
推广	/to extend/to spread/to popularize/generalization/promotion (of a product etc)/
退步	/to do less well than before/to make a concession/setback/backward step/leeway/room to maneuver/fallback/
外交	/diplomacy/diplomatic/foreign affairs/CL:個|个[ge4]/
完美	/perfect/
完善	/(of systems, facilities etc) comprehensive/well-developed/excellent/to refine/to improve/
王子	/prince/son of a king/
往返	/to go back and forth; to go to and fro; to do a round trip/
网络	/network (computing, telecommunications, transport etc)/
危害	/to jeopardize/to harm/to endanger/harmful effect/damage/CL:個|个[ge4]/
微笑	/smile/CL:個|个[ge4],絲|丝[si1]/to smile/
违反	/to violate (a law)/
围巾	/scarf/shawl/CL:條|条[tiao2]/
唯一	/only; sole/
伟大	/huge; great; grand; worthy of the greatest admiration; important (contribution etc)/
胃口	/appetite/liking/
位置	/position/place/seat/CL:個|个[ge4]/
未来	/future/tomorrow/CL:個|个[ge4]/approaching/coming/pending/
温暖	/warm/
文件	/document/file/CL:份[fen4]/
文明	/civilized/civilization/culture/CL:個|个[ge4]/
文字	/character/script/writing/written language/writing style/phraseology/CL:個|个[ge4]/
握手	/to shake hands/
屋子	/house/room/CL:間|间[jian1]/
无奈	/to have no alternative/frustrated/exasperated/helpless/(conjunction) but unfortunately/
无所谓	/to be indifferent/not to matter/cannot be said to be/
武术	/military skill or technique (in former times)/all kinds of martial art sports (some claiming spiritual development)/self-defense/tradition of choreographed fights from opera and film (recent usage)/also called kungfu 功夫/CL:種|种[zhong3]/
物理	/physics/
吸收	/to absorb/to assimilate/to ingest/to recruit/
细节	/details; particulars/
鲜艳	/bright-colored; gaily-colored/
显得	/to seem/to look/to appear/
显示	/to show/to illustrate/to display/to demonstrate/
现代	/modern times/modern age/modern era/
现实	/reality; actuality/real; actual/realistic; pragmatic; materialistic; self-interested/
限制	/to restrict/to limit/to confine/restriction/limit/CL:個|个[ge4]/
相处	/to be in contact (with sb)/to associate/to interact/to get along (well, poorly)/
相对	/relatively/opposite/to resist/to oppose/relative/vis-a-vis/counterpart/
相关	/related/relevant/pertinent/to be interrelated/(statistics) correlation/
想象	/to imagine; to envision/imagination/
项目	/item/project/(sports) event/CL:個|个[ge4]/
象棋	/Chinese chess/CL:副[fu4]/
消费	/to consume (goods and services, resources etc)/
消化	/to digest (food)/(fig.) to absorb (information etc); to assimilate; to process/
销售	/to sell/to market/sales (representative, agreement etc)/
小麦	/wheat/CL:粒[li4]/
效率	/efficiency/
欣赏	/to appreciate; to enjoy; to admire/
信号	/signal/
行动	/operation/action/CL:個|个[ge4]/to move about/mobile/
行人	/pedestrian/traveler on foot/passer-by/official responsible for arranging audiences with the emperor/
形成	/to form; to take shape/
形式	/outer appearance/form/shape/formality/CL:個|个[ge4]/
形象	/image/form/figure/CL:個|个[ge4]/visualization/vivid/
性质	/nature/characteristic/CL:個|个[ge4]/
幸亏	/fortunately/luckily/
修改	/to amend/to alter/to modify/
休闲	/leisure/relaxation/not working/idle/to enjoy leisure/to lie fallow/
叙述	/to relate (a story or information)/to tell or talk about/to recount/narration/telling/narrative/account/
宣传	/to disseminate/to give publicity to/propaganda/CL:個|个[ge4]/
学历	/educational background/academic qualifications/
学问	/learning/knowledge/CL:個|个[ge4]/
寻找	/to seek; to look for/
迅速	/rapid/speedy/fast/
延长	/to prolong/to extend/to delay/
严肃	/solemn/grave/serious/earnest/severe/
演讲	/to give a lecture; to make a speech/
阳台	/balcony/porch/
要不	/otherwise/or else/how about...?/either... (or...)/
业务	/business/professional work/service/CL:項|项[xiang4]/
一辈子	/(for) a lifetime/
一律	/same/uniformly/all/without exception/
移动	/to move/movement/migration/mobile/portable/
遗憾	/regret/to regret/to be sorry that/
以及	/as well as/too/and/
意义	/sense/meaning/significance/importance/CL:個|个[ge4]/
因而	/therefore/as a result/thus/and as a result, .../
印刷	/to print/printing/
英雄	/hero/CL:個|个[ge4]/
迎接	/to welcome; to greet/
营业	/to do business/to trade/
影子	/shadow/reflection/(fig.) hint/indication/influence/CL:個|个[ge4]/
硬件	/hardware/
拥抱	/to embrace/to hug/
用途	/use; application/
优美	/graceful/fine/elegant/
游览	/to go sightseeing/to tour/to visit/CL:次[ci4]/
犹豫	/to hesitate/
幼儿园	/kindergarten/nursery school/
与其	/rather than... (used in expressions of the form 與其|与其[yu3qi2] + {verb1} + 不如[bu4ru2] + {verb2} "rather than {verb1}, better to {verb2}")/
语气	/tone/manner of speaking/mood/CL:個|个[ge4]/
预订	/to place an order/to book ahead/
玉米	/corn/maize/CL:粒[li4]/
原料	/raw material/
原则	/principle/doctrine/CL:個|个[ge4]/
乐器	/musical instrument/CL:件[jian4]/
运输	/to transport/to carry/transportation/
在于	/to rest with; to lie in; to be due to (a certain attribute)/(of a matter) to be determined by; to be up to (sb)/
赞美	/to admire/to praise/to eulogize/
粘贴	/to stick/to affix/to adhere/to paste (as in "copy and paste")/Taiwan pr. [nian2 tie1]/also written 黏貼|黏贴[nian2 tie1]/
展览	/to put on display/to exhibit/exhibition/show/CL:個|个[ge4],次[ci4]/
战争	/war; conflict/CL:場|场[chang2],次[ci4]/
长辈	/one's elders/older generation/
招待	/to hold a reception; to offer hospitality; to entertain (guests); to serve (customers)/
着火	/to catch fire/
着凉	/to catch cold/Taiwan pr. [zhao1 liang2]/
召开	/to convene (a conference or meeting)/to convoke/to call together/
照常	/as usual/
哲学	/philosophy/CL:個|个[ge4]/
真实	/true; real/
针对	/to target; to focus on; to be aimed at or against; in response to/
诊断	/to diagnose/
振动	/to vibrate/to shake/vibration/
争论	/to argue/to debate/to contend/argument/contention/controversy/debate/CL:次[ci4],場|场[chang3]/
征求	/to solicit/to seek/to request (opinions, feedback etc)/to petition/
整体	/whole entity/entire body/synthesis/as a whole (situation, construction, team etc)/global/macrocosm/integral/holistic/whole/
政治	/politics/political/
证据	/evidence/proof/testimony/
执照	/license; permit/
指挥	/to conduct/to command/to direct/conductor (of an orchestra)/CL:個|个[ge4]/
制度	/system (e.g. political, adminstrative etc)/institution/CL:個|个[ge4]/
制作	/to make; to manufacture/
至今	/so far/to this day/until now/
至于	/as for/as to/to go so far as to/
治疗	/to treat (an illness)/medical treatment/therapy/
志愿者	/volunteer/
中心	/center; heart; core/
种类	/kind/genus/type/category/variety/species/sort/class/
重大	/great/important/major/significant/
重量	/weight/CL:個|个[ge4]/
逐渐	/gradually/
主动	/to take the initiative/to do sth of one's own accord/spontaneous/active/opposite: passive 被動|被动[bei4 dong4]/drive (of gears and shafts etc)/
主人	/master/host/owner/CL:個|个[ge4]/
主席	/chairperson/premier/chairman/CL:個|个[ge4],位[wei4]/
主张	/to advocate/to stand for/view/position/stand/proposition/viewpoint/assertion/CL:個|个[ge4]/
祝福	/blessings/to wish sb well/
注册	/to register/to enroll/
抓紧	/to keep a firm grip on/to pay close attention to/to lose no time in (doing sth)/
转变	/to change/to transform/shift/transformation/CL:個|个[ge4]/
装饰	/to decorate/decoration/decorative/ornamental/
状态	/condition; state; state of affairs/CL:個|个[ge4]/
追求	/to pursue (a goal etc) stubbornly/to seek after/to woo/
资金	/funds; capital/
资源	/natural resource (such as water or minerals)/resource (such as manpower or tourism)/
咨询	/to consult/to seek advice/consultation/(sales) inquiry (formal)/
字母	/letter (of the alphabet)/CL:個|个[ge4]/
自从	/since (a time)/ever since/
自豪	/proud (of one's achievements etc)/
自觉	/conscious/aware/on one's own initiative/conscientious/
自私	/selfish/selfishness/
自愿	/voluntary/
总裁	/chairman/director-general (of a company etc)/
总统	/president (of a country)/CL:個|个[ge4],位[wei4],名[ming2],屆|届[jie4]/
组合	/to assemble; to combine; to compose/combination; association; set; compilation/(math.) combinatorial/
阻止	/to prevent/to block/
最初	/first/primary/initial/original/at first/initially/originally/
尊敬	/to respect; to revere; to esteem/honorable; distinguished (used on formal occasions before a term of address)/
遵守	/to comply with; to abide by; to respect (an agreement)/
作品	/work (of art)/opus/CL:部[bu4],篇[pian1]/
作为	/one's conduct/deed/activity/accomplishment/achievement/to act as/as (in the capacity of)/qua/to view as/to look upon (sth as)/to take sth to be/
爱情	/romance; love (romantic)/CL:份[fen4]/
安排	/to arrange/to plan/to set up/arrangements/plans/
安全	/safe; secure/safety; security/
按时	/on time/before deadline/on schedule/
按照	/according to/in accordance with/in the light of/on the basis of/
百分之	/percent/
包子	/bao (steamed stuffed bun)/CL:個|个[ge4]/
保护	/to protect/to defend/to safeguard/protection/CL:種|种[zhong3]/
保证	/guarantee/to guarantee/to ensure/to safeguard/to pledge/CL:個|个[ge4]/
抱歉	/to be sorry/to feel apologetic/sorry!/
报名	/to sign up/to enter one's name/to apply/to register/to enroll/to enlist/
本来	/original/originally/at first/it goes without saying/of course/
比如	/for example/for instance/such as/
毕业	/graduation/to graduate/to finish school/
标准	/standard; norm; criterion/(adjective) standard/good; correct; conforming to a standard/
表格	/form/table/CL:張|张[zhang1],份[fen4]/
表示	/(of sb) to express; to state; to show/(of sth) to indicate; to signify; to show/expression; manifestation/
表演	/play/show/performance/exhibition/to perform/to act/to demonstrate/CL:場|场[chang3]/
表扬	/to praise/to commend/
饼干	/biscuit; cracker; cookie/CL:片[pian4],塊|块[kuai4]/
并且	/and; besides; moreover; furthermore; in addition/
博士	/doctor/court academician (in feudal China)/Ph.D./
不过	/only/merely/no more than/but/however/anyway (to get back to a previous topic)/cannot be more (after adjectival)/
不得不	/have no choice or option but to/cannot but/have to/can't help it/can't avoid/
不管	/not to be concerned/regardless of/no matter/
不仅	/not just; not limited to/(as a correlative conjunction) not only (..., but also ...)/
部分	/part/share/section/piece/CL:個|个[ge4]/
材料	/(raw) material/data/(fig.) person who has the potential to do the job/
参观	/to look around/to tour/to visit/
餐厅	/dining hall/dining room/restaurant/CL:間|间[jian1],家[jia1]/
差不多	/almost/nearly/more or less/about the same/good enough/not bad/
长城	/the Great Wall/
长江	/Yangtze River, or Chang Jiang/
超过	/to surpass/to exceed/to outstrip/
厕所	/toilet; lavatory/CL:間|间[jian1],處|处[chu4]/
成功	/to succeed/success/successful; fruitful/
成为	/to become; to turn into/
诚实	/honest/
乘坐	/to ride (in a vehicle)/
吃惊	/to be startled/to be shocked/to be amazed/
重新	/again; once more; re-/
抽烟	/to smoke (a cigarette, tobacco)/
出差	/to go on an official or business trip/
出发	/to set off/to start (on a journey)/
出生	/to be born/
出现	/to appear/to arise/to emerge/to show up/
厨房	/kitchen/CL:間|间[jian1]/
传真	/fax/facsimile/
窗户	/window/CL:個|个[ge4],扇[shan4]/
词语	/word (general term including monosyllables through to short phrases)/term (e.g. technical term)/expression/
从来	/always/at all times/never (if used in negative sentence)/
粗心	/careless/thoughtless/
错误	/mistaken; false; wrong/error; mistake/CL:個|个[ge4]/
答案	/answer/solution/CL:個|个[ge4]/
打招呼	/to greet sb by word or action/to give prior notice/
打扮	/to decorate/to dress/to make up/to adorn/manner of dressing/style of dress/
打扰	/to disturb/to bother/to trouble/
打印	/to affix a seal/to stamp/to print out (with a printer)/
打折	/to give a discount/
打针	/to give or have an injection/
大概	/roughly/probably/rough/approximate/about/general idea/
大使馆	/embassy/CL:座[zuo4],個|个[ge4]/
大约	/approximately/probably/
大夫	/doctor/physician/
当时	/at once/right away/
导游	/tour guide/guidebook/to conduct a tour/
到处	/everywhere/
到底	/finally/in the end/when all is said and done/after all/to the end/to the last/
道歉	/to apologize/
得意	/proud of oneself/pleased with oneself/complacent/
地点	/place/site/location/venue/CL:個|个[ge4]/
得（助动词）	have to
登机牌	/boarding pass/
等 （动）	wait (verb)
地球	/the earth/CL:個|个[ge4]/
地址	/address/CL:個|个[ge4]/
调查	/investigation/inquiry/to investigate/to survey/survey/(opinion) poll/CL:項|项[xiang4],個|个[ge4]/
动作	/movement; motion; action (CL:個|个[ge4])/to act; to move/
堵车	/traffic jam/(of traffic) to get congested/
肚子	/belly/abdomen/stomach/CL:個|个[ge4]/
短信	/text message/SMS/
对于	/regarding; as far as (sth) is concerned; with regard to/
对话	/to talk (with sb)/dialogue; conversation/
对面	/(sitting) opposite/across (the street)/directly in front/to be face to face/
儿童	/child/CL:個|个[ge4]/
发生	/to happen; to occur; to take place; to break out/
发展	/development/growth/to develop/to grow/to expand/
法律	/law/CL:條|条[tiao2], 套[tao4], 個|个[ge4]/
翻译	/to translate/to interpret/translator/interpreter/translation/interpretation/CL:個|个[ge4],位[wei4],名[ming2]/
烦恼	/to be worried/to be distressed/worries/
反对	/to oppose; to be against; to object to/
方法	/method; way; means/CL:個|个[ge4]/
方面	/respect/aspect/field/side/CL:個|个[ge4]/
方向	/direction; orientation/CL:個|个[ge4]/
房东	/landlord/
放弃	/to renounce; to abandon; to give up/
放暑假	/to be on summer vacation/
放松	/to relax; to slacken; to loosen/
丰富	/to enrich/rich/plentiful/abundant/
否则	/otherwise; if not; or (else)/
符合	/in keeping with/in accordance with/tallying with/in line with/to agree with/to accord with/to conform to/to correspond with/to manage/to handle/
付款	/to pay a sum of money/payment/
父亲	/father/also pr. [fu4 qin5]/CL:個|个[ge4]/
复印	/to photocopy/to duplicate a document/
复杂	/complicated; complex/
负责	/to be responsible for; to be in charge of; to bear responsibility for/conscientious/
改变	/to change/to alter/to transform/
干杯	/to drink a toast/Cheers! (proposing a toast)/Here's to you!/Bottoms up!/lit. dry cup/
感动	/to move (sb)/to touch (sb emotionally)/moving/
感觉	/feeling; impression; sensation/to feel; to perceive/
感情	/emotion; sentiment/affection; feelings between two persons/CL:個|个[ge4],種|种[zhong3]/
感谢	/(express) thanks/gratitude/grateful/thankful/thanks/
高速公路	/expressway; highway; freeway/
胳膊	/arm/CL:隻|只[zhi1],條|条[tiao2],雙|双[shuang1]/
公里	/kilometer/
工资	/wages; pay/CL:個|个[ge4],份[fen4]/
功夫	/skill/art/kung fu/labor/effort/
共同	/common/joint/jointly/together/collaborative/
购物	/shopping/
估计	/to estimate; to assess; to calculate/(coll.) to reckon; to think (that ...)/
鼓励	/to encourage/
顾客	/customer; client/CL:位[wei4]/
故意	/deliberately; on purpose/
关键	/crucial point/crux/CL:個|个[ge4]/key/crucial/pivotal/
观众	/spectators; audience; visitors (to an exhibition etc)/
管理	/to supervise/to manage/to administer/management/administration/CL:個|个[ge4]/
广播	/broadcast/CL:個|个[ge4]/broadcasting/to broadcast/(formal) to propagate/to publicize/
广告	/to advertise/a commercial/advertisement/CL:項|项[xiang4]/
规定	/to stipulate; to specify; to prescribe; to fix (a price); to set (a quota)/regulations; rules; provisions; stipulations/
国际	/international/
国籍	/nationality/
果汁	/fruit juice/
过程	/course of events/process/CL:個|个[ge4]/
海洋	/ocean/CL:個|个[ge4]/
害羞	/shy/embarrassed/bashful/
寒假	/winter vacation/
航班	/(scheduled) flight; (scheduled) sailing/
好处	/benefit; advantage; merit/gain; profit/also pr. [hao3 chu4]/
好像	/as if/to seem like/
号码	/number/CL:堆[dui1],個|个[ge4]/
合格	/to meet the standard required/qualified/eligible (voter etc)/
合适	/suitable; fitting; appropriate/
盒子	/box/case/
后悔	/to regret; to feel remorse/
护士	/nurse/CL:個|个[ge4]/
互联网	/Internet/
互相	/each other/mutually/mutual/
怀疑	/to doubt (sth); to be skeptical of/to have one's doubts; to harbor suspicions; to suspect that/
回忆	/to recall/memories/CL:個|个[ge4]/
活动	/to exercise/to move about/to operate/to use connections (personal influence)/loose/shaky/active/movable/activity/campaign/maneuver/behavior/CL:項|项[xiang4],個|个[ge4]/
活泼	/lively/vivacious/brisk/active/(chemistry) reactive/
获得	/to obtain; to receive; to get/
基础	/base; foundation; basis/basic; fundamental/
激动	/to move emotionally/to stir up (emotions)/to excite/
积极	/active/energetic/vigorous/positive (outlook)/proactive/
积累	/to accumulate/accumulation/cumulative/cumulatively/
及时	/timely; at the right time/promptly; without delay/
即使	/even if; even though/
记者	/reporter; journalist/CL:個|个[ge4]/
计划	/plan/project/program/to plan/to map out/CL:個|个[ge4],項|项[xiang4]/
既然	/since; as; this being the case/
技术	/technology; technique; skill/CL:門|门[men2],種|种[zhong3],項|项[xiang4]/
继续	/to continue; to proceed with; to go on with/
家具	/furniture/CL:件[jian4],套[tao4]/
加班	/to work overtime/
加油站	/gas station/
价格	/price/CL:個|个[ge4]/
坚持	/to persevere with/to persist in/to insist on/
减肥	/to lose weight/
减少	/to lessen; to decrease; to reduce; to lower/
建议	/to propose; to suggest; to recommend/proposal; suggestion; recommendation/CL:個|个[ge4],點|点[dian3]/
将来	/in the future/future/the future/CL:個|个[ge4]/
奖金	/premium/award money/bonus/
降低	/to reduce; to lower; to bring down/
降落	/to descend/to land/
交流	/to exchange/exchange/communication/interaction/to have social contact (with sb)/
交通	/to be connected/traffic/transportation/communications/liaison/
郊区	/suburban district; outskirts; suburbs/
骄傲	/pride/arrogance/conceited/proud of sth/
饺子	/dumpling/pot-sticker/CL:個|个[ge4],隻|只[zhi1]/
教授	/professor/to instruct/to lecture on/CL:個|个[ge4],位[wei4]/
教育	/to educate/to teach/education/
接受	/to accept (a suggestion, punishment, bribe etc); to acquiesce/
接着	/to catch and hold on/to continue/to go on to do sth/to follow/to carry on/then/after that/subsequently/to proceed/to ensue/in turn/in one's turn/
结果	/outcome/result/conclusion/in the end/as a result/to kill/to dispatch/
节约	/to economize/to conserve (resources)/economy/frugal/
解释	/explanation/to explain/to interpret/to resolve/CL:個|个[ge4]/
尽管	/despite/although/even though/in spite of/unhesitatingly/do not hesitate (to ask, complain etc)/(go ahead and do it) without hesitating/
紧张	/nervous/keyed up/intense/tense/strained/in short supply/scarce/CL:陣|阵[zhen4]/
进行	/to advance/to conduct/underway/in progress/to do/to carry out/to carry on/to execute/
禁止	/to prohibit/to forbid/to ban/
精彩	/wonderful/marvelous/brilliant/
经济	/economy/economic/
经历	/experience/CL:個|个[ge4],次[ci4]/to experience/to go through/
经验	/experience/to experience/
京剧	/Beijing opera/CL:場|场[chang3],齣|出[chu1]/
警察	/police; police officer/
景色	/scenery/scene/landscape/view/
竟然	/unexpectedly/to one's surprise/in spite of everything/in that crazy way/actually/to go as far as to/
竞争	/to compete/competition/
镜子	/mirror/CL:面[mian4],個|个[ge4]/
究竟	/to go to the bottom of a matter/after all/when all is said and done/(in an interrogative sentence) finally/outcome/result/
举办	/to conduct/to hold/
举行	/to hold (a meeting, ceremony etc)/
拒绝	/to refuse; to decline; to reject/
距离	/distance/CL:個|个[ge4]/to be apart from/
聚会	/party/gathering/to meet/to get together/
开玩笑	/to play a joke; to make fun of; to joke/
开心	/to feel happy/to rejoice/to have a great time/to make fun of sb/
看法	/way of looking at a thing/view/opinion/CL:個|个[ge4]/
考虑	/to think over/to consider/consideration/
烤鸭	/roast duck/
科学	/science/scientific knowledge/scientific/rational/CL:門|门[men2],個|个[ge4],種|种[zhong3]/
咳嗽	/to cough/CL:陣|阵[zhen4]/
可怜	/pitiful/pathetic/to have pity on/
可是	/but; however/(used for emphasis) indeed/
可惜	/it is a pity/what a pity/unfortunately/
客厅	/drawing room (room for arriving guests)/living room/CL:間|间[jian1]/
肯定	/to be certain; to be positive/assuredly; definitely/to give recognition; to affirm/affirmative (answer)/
空气	/air/atmosphere/
恐怕	/fear/to dread/I'm afraid that.../perhaps/maybe/
矿泉水	/mineral water/CL:瓶[ping2],杯[bei1]/
困难	/difficult/challenging/straitened circumstances/difficult situation/
垃圾桶	/rubbish bin/trash can/garbage can/Taiwan pr. [le4 se4 tong3]/
来自	/to come from (a place)/From: (in email header)/
来不及	/there's not enough time (to do sth)/it's too late (to do sth)/
来得及	/to have enough time; can do it in time; can still make it/
浪费	/to waste/to squander/
浪漫	/romantic/
老虎	/tiger/CL:隻|只[zhi1]/
冷静	/calm; cool-headed; dispassionate/(of a place) deserted; quiet/
理发	/to get a haircut; to have one's hair done/to cut (sb's) hair; to give (sb) a haircut/
理解	/to comprehend; to understand/
理想	/an ideal/a dream/ideal/perfect/
礼貌	/courtesy; politeness; manners/courteous; polite/
礼拜天	/Sunday/
厉害	/(used to describe sb or sth that makes a very strong impression, whether favorable or unfavorable) terrible; intense; severe; devastating; amazing; awesome; outstanding/(of a person) stern; strict; harsh; shrewd; tough/(of an animal) fierce/(of a resemblance) striking/(of liquor or chili pepper) strong/(of bacteria) virulent/
力气	/strength/CL:把[ba3]/
例如	/for example; for instance; such as/
联系	/connection/contact/relation/to get in touch with/to integrate/to link/to touch/
凉快	/nice and cold/pleasantly cool/
零钱	/change (of money)/small change/pocket money/
另外	/additional/in addition/besides/separate/other/moreover/furthermore/
流利	/fluent/
流行	/(of a contagious disease etc) to spread/to propagate/(of a style of clothing, song etc) popular/fashionable/
旅行	/to travel/journey; trip/CL:趟[tang4],次[ci4]/
律师	/lawyer/
麻烦	/trouble; inconvenience/inconvenient; troublesome; annoying/to bother sb; to put sb to trouble/
马虎	/careless/sloppy/negligent/skimpy/
毛巾	/towel/CL:條|条[tiao2]/
美丽	/beautiful/
迷路	/to lose the way/lost/labyrinth/labyrinthus vestibularis (of the inner ear)/
密码	/cipher; secret code/password; PIN/
免费	/free (of charge)/
民族	/nationality; ethnic group/CL:個|个[ge4]/
母亲	/mother/also pr. [mu3 qin5]/CL:個|个[ge4]/
目的	/purpose; aim; goal; target; objective/CL:個|个[ge4]/
耐心	/to be patient/patience/
难道	/don't tell me .../could it be that...?/
难受	/to feel unwell/to suffer pain/to be difficult to bear/
内容	/content/substance/details/CL:個|个[ge4],項|项[xiang4]/
能力	/capability/ability/CL:個|个[ge4]/
年龄	/(a person's) age/CL:把[ba3],個|个[ge4]/
暖和	/warm/nice and warm/
偶尔	/occasionally/once in a while/sometimes/
排队	/to line up/
排列	/to arrange in order/(math.) permutation/
判断	/to judge/to determine/judgment/
批评	/to criticize; criticism/CL:次[ci4],番[fan1]/
皮肤	/skin/CL:層|层[ceng2],塊|块[kuai4]/
脾气	/character; temperament; disposition/bad temper/CL:股[gu3]/
乒乓球	/table tennis/ping-pong/table tennis ball/CL:個|个[ge4]/
平时	/ordinarily/in normal times/in peacetime/
葡萄	/grape/
普遍	/universal/general/widespread/common/
普通话	/Mandarin (common language)/Putonghua (common speech of the Chinese language)/ordinary speech/
其次	/next/secondly/
其中	/among/in/included among these/
气候	/(meteorology) climate/(fig.) climate; prevailing conditions (in human affairs)/CL:種|种[zhong3]/
千万	/ten million/countless/many/one must by all means/
签证	/visa/to issue a visa/
巧克力	/chocolate (loanword)/CL:塊|块[kuai4]/
亲戚	/a relative (i.e. family relation)/CL:門|门[men2],個|个[ge4],位[wei4]/
轻松	/light/gentle/relaxed/effortless/uncomplicated/to relax/to take things less seriously/
情况	/circumstances; state of affairs; situation/CL:個|个[ge4],種|种[zhong3]/
区别	/difference/to distinguish/to discriminate/to make a distinction/CL:個|个[ge4]/
全部	/whole; all/
缺点	/weak point/fault/shortcoming/disadvantage/CL:個|个[ge4]/
缺少	/lack/shortage of/shortfall/to be short (of)/to lack/
确实	/indeed/really/reliable/real/true/
然而	/however; but; yet/
热闹	/bustling with noise and excitement/lively/
任何	/any; whatever; whichever/
任务	/mission; assignment; task; duty; role/CL:項|项[xiang4],個|个[ge4]/
仍然	/still; as before; yet/
日记	/diary/CL:則|则[ze2],本[ben3],篇[pian1]/
入口	/entrance/to import/
散步	/to take a walk; to go for a walk/
森林	/forest/CL:片[pian4]/
沙发	/sofa (loanword)/CL:條|条[tiao2],張|张[zhang1]/(Internet slang) the first reply or replier to a forum post/
商量	/to consult/to talk over/to discuss/
伤心	/to grieve/to be broken-hearted/to feel deeply hurt/
稍微	/a little bit/
勺子	/scoop/ladle/CL:把[ba3]/
社会	/society/CL:個|个[ge4]/
申请	/to apply for sth/application form (CL:份[fen4])/
甚至	/even; so much so that/
生活	/to live/life/livelihood/
生命	/life (as the characteristic of living beings)/living being; creature (CL:個|个[ge4],條|条[tiao2])/
生意	/business/CL:筆|笔[bi3]/
失败	/to be defeated/to lose/to fail (e.g. experiments)/failure/defeat/CL:次[ci4]/
失望	/disappointed/to lose hope/to despair/
师傅	/master/qualified worker/respectful form of address for older men/CL:個|个[ge4],位[wei4],名[ming2]/
十分	/very/completely/utterly/extremely/absolutely/hundred percent/to divide into ten equal parts/
实际	/reality/practice/practical/realistic/real/actual/
实在	/really/actually/indeed/true/real/honest/dependable/(philosophy) reality/
使用	/to use/to employ/to apply/to make use of/
是否	/whether (or not)/if/is or isn't/
适合	/to fit; to suit/
适应	/to adapt/to fit/to suit/
世纪	/century/CL:個|个[ge4]/
收入	/to take in/income/revenue/CL:筆|笔[bi3],個|个[ge4]/
收拾	/to put in order/to tidy up/to pack/to repair/(coll.) to sort sb out/to fix sb/
首都	/capital (city)/CL:個|个[ge4]/
首先	/first (of all)/in the first place/
受不了	/unbearable/unable to endure/can't stand/
受到	/to receive (praise, an education, punishment etc)/to be ...ed (praised, educated, punished etc)/
售货员	/salesperson/CL:個|个[ge4]/
熟悉	/to be familiar with; to know well/
数量	/amount; quantity (CL:個|个[ge4])/quantitative/(math.) scalar quantity/
数字	/numeral/digit/number/figure/amount/digital (electronics etc)/CL:個|个[ge4]/
顺便	/conveniently/in passing/without much extra effort/
顺利	/smoothly; without a hitch/
顺序	/sequence/order/
说明	/to explain/to illustrate/to indicate/to show/to prove/explanation/directions/caption/CL:個|个[ge4]/
硕士	/master's degree/person who has a master's degree/learned person/
速度	/speed/rate/velocity/(music) tempo/CL:個|个[ge4]/
塑料袋	/plastic bag/
随便	/as one wishes/as one pleases/at random/negligent/casual/wanton/
随着	/along with/in the wake of/following/
孙子	/grandson/son's son/
所有	/all/to have; to possess; to own/
态度	/manner/bearing/attitude/approach/CL:個|个[ge4]/
弹钢琴	to play the piano
讨论	/to discuss; to talk over/
讨厌	/to dislike/to loathe/disagreeable/troublesome/annoying/
特点	/characteristic (feature)/trait/feature/CL:個|个[ge4]/
提供	/to offer/to supply/to provide/to furnish/
提前	/to shift to an earlier date/to do sth ahead of time/in advance/
提醒	/to remind/to call attention to/to warn of/
填空	/to fill a job vacancy/to fill in a blank (e.g. on questionnaire or exam paper)/
条件	/condition; circumstance; term; factor/requirement; prerequisite; qualification/situation; state; condition/CL:個|个[ge4]/
通过	/to pass through; to get through/to adopt (a resolution); to pass (legislation)/to pass (a test)/by means of; through; via/
通知	/to notify/to inform/notice/notification/CL:個|个[ge4]/
同时	/at the same time; simultaneously/
同情	/to sympathize with/sympathy/
推迟	/to postpone/to put off/to defer/
袜子	/socks/stockings/CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]/
完全	/complete; whole/totally; entirely/
往往	/usually/in many cases/more often than not/
网球	/tennis/tennis ball/CL:個|个[ge4]/
网站	/website/
危险	/danger/dangerous/
味道	/flavor; taste/(fig.) feeling (of ...); sense (of ...); hint (of ...)/(fig.) interest; delight/(dialect) smell; odor/
卫生间	/bathroom/toilet/WC/CL:間|间[jian1]/
温度	/temperature/CL:個|个[ge4]/
文章	/article/essay/literary works/writings/hidden meaning/CL:篇[pian1],段[duan4],頁|页[ye4]/
