"保持⠀";"bǎochí";"/to keep/to maintain/to hold/to preserve//to keep/to maintain/to hold/to preserve";"保 (to protect)";"Other words using this character: 保护 (protect); 保证 (guarantee); 保存 (to conserve); 保留 (retain); 保险 (insurance)";"持 (to hold)";"Other words using this character: 坚持 (persist); 支持 (support); 持续 (continue); 主持 (host)";"❈ 保持冷静。";"<i>bǎochí lěngjìng.</i><br></br>Maintain composure.";"❈ 保持健康的生活方式。";"<i>bǎochí jiànkāng de shēnghuó fāngshì.</i><br></br>Maintain a healthy lifestyle.";"❈ 保持微笑。";"<i>bǎochí wēixiào.</i><br></br>Keep smiling.";"🐇 魏无羡努力保持自己的微笑，不让别人看出内心的痛苦。";"<i>wèiwúxiàn nǔlì bǎochí zìjǐ de wēixiào, bùràng biéren kànchū nèixīn de tòngkǔ.</i><br></br>Wei Wuxian tries to maintain his smile and not let others see his inner pain.";"♻❈ 危险来临时，我们要保持冷静。";"<i>wēixiǎn lái línshí, wǒmen yào bǎochí lěngjìng.</i><br></br>When danger comes, we need to stay calm."
"整体⠀";"zhěngtǐ";"/whole entity/entire body/synthesis/as a whole (situation, construction, team etc)/global/macrocosm/integral/holistic/whole//whole entity/entire body/synthesis/as a whole (situation, construction, team etc)/global/macrocosm/integral/holistic/whole";"整 (whole)";"Other words using this character: 整理 (tidy up); 调整 (adjust); 完整 (complete); 整个 (whole); 整齐 (orderly)";"体 (body)";"Other words using this character: 身体 (body); 体育 (sports); 体贴 (considerate); 体验 (experience); 集体 (collective); 具体 (concrete); 媒体 (media); 体会 (realize); 体现 (embody)";"❈ 整体来看，这个团队非常出色。";"<i>zhěngtǐ láikàn, zhège tuánduì fēicháng chūsè.</i><br></br>Overall, this team is very outstanding.";"❈ 我们需要考虑整体的情况。";"<i>wǒmen xūyào kǎolǜ zhěngtǐ de qíngkuàng.</i><br></br>We need to consider the whole situation.";"❈ 整体规划了城市的未来发展。";"<i>zhěngtǐguīhuà le chéngshì de wèilái fāzhǎn.</i><br></br>The future development of the city is planned as a whole.";"🐇 蓝忘机喜欢整体的思考方式。";"<i>lánwàngjī xǐhuan zhěngtǐ de sīkǎo fāngshì.</i><br></br>Lan Wangji likes a holistic way of thinking.";"♻❈ 微观的变化会影响整体的发展。";"<i>wēiguān de biànhuà huì yǐngxiǎng zhěngtǐ de fāzhǎn.</i><br></br>Microscopic changes will affect the overall development."
"政治⠀";"zhèngzhì";"/politics/political//politics/political";"政 (political)";"Other words using this character: 政府 (government)";"治 (to rule)";"Other words using this character: 治疗 (treat)";"❈ 他对政治很感兴趣。";"<i>tā duì zhèngzhì hěngǎnxīngqù.</i><br></br>He is very interested in politics.";"❈ 她的职业是从事政治研究。";"<i>tā de zhíyè shì cóngshì zhèngzhì yánjiū.</i><br></br>Her profession is in political research.";"❈ 政治是国家的大事。";"<i>zhèngzhì shì guójiā de dàshì.</i><br></br>Politics is a major issue for the country.";"❈ 政治是一个复杂的领域。";"<i>zhèngzhì shì yīgè fùzá de lǐngyù.</i><br></br>Politics is a complex field.";"❈ 她的工作与政治有关。";"<i>tā de gōngzuò yǔ zhèngzhì yǒuguān.</i><br></br>Her work is related to politics."
"证据⠀";"zhèngjù";"/evidence/proof/testimony//evidence/proof/testimony";"证 (certificate)";"Other words using this character: 保证 (guarantee); 签证 (visa); 证明 (proof); 证件 (certificate)";"据 (according to)";"Other words using this character: 根据 (according to); 收据 (receipt); 数据 (data); 据说 (reportedly)";"❈ 证据表明他是无辜的。";"<i>zhèngjù biǎomíng tā shì wúgū de.</i><br></br>Evidence shows that he is innocent.";"❈ 这是他犯罪的证据。";"<i>zhè shì tā fànzuì de zhèngjù.</i><br></br>This is the evidence of his crime.";"❈ 我们需要更多的证据。";"<i>wǒmen xūyào gēng duō de zhèngjù.</i><br></br>We need more evidence.";"🐇 魏无羡总是能找到关键的证据，破解棘手的案件。";"<i>wèiwúxiàn zǒngshì néng zhǎodào guānjiàn de zhèngjù, pòjiě jíshǒu de ànjiàn.</i><br></br>Wei Wuxian always manages to find crucial evidence, solving difficult cases.";"♻❈ 证据表明这是一个事实。";"<i>zhèngjù biǎomíng zhèshì yīgè shìshí.</i><br></br>Evidence shows that this is a fact."
"挣⠀";"zhēng||zhèng";"/to struggle to get free/to strive to acquire/to make (money)//used in 掙扎|挣扎[zhēng zhá]||to struggle to get free; to strive to acquire; to make (money)";"挣 (struggle)";"There are no other HSK words in this level (or before) using this character.";"❈ 他挣扎着想要逃脱。";"<i>tā zhēngzhá zhe xiǎngyào táotuō.</i><br></br>He struggled to break free.";"❈ 他挣了一大笔钱。";"<i>tā zhēng le yīdàbǐqián.</i><br></br>He made a lot of money.";"❈ 她每天都在努力挣钱。";"<i>tā měitiān dōu zài nǔlì zhèngqián.</i><br></br>She's striving to make money every day.";"🐇 蓝忘机挣扎着想要守护魏无羡。";"<i>lánwàngjī zhēngzhá zhe xiǎngyào shǒuhù wèiwúxiàn.</i><br></br>Lan Wangji struggles to protect Wei Wuxian.";"♻🐇 蓝忘机的沉默是因为他内心的挣扎。";"<i>lánwàngjī de chénmò shìyīnwéi tā nèixīn de zhēngzhá.</i><br></br>Lan Wangji's silence is because of the struggle in his heart."
"直⠀";"zhí";"/straight/to straighten/fair and reasonable/frank/straightforward/(indicates continuing motion or action)/vertical/vertical downward stroke in Chinese characters//straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters; surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yán dì] descended from Shennong 神農|神农[Shén nóng] Farmer God";"直 (straight)";"Other words using this character: 一直 (continuously); 直接 (direct); 简直 (simply)";"❈ 她的直性格让人觉得很舒服。";"<i>tā de zhí xìnggé ràng rén juéde hěn shūfu.</i><br></br>Her straightforward personality makes people feel comfortable.";"❈ 他的直话让我感到受伤了。";"<i>tā de zhíhuà ràng wǒ gǎndào shòushāng le.</i><br></br>His frank words hurt my feelings.";"❈ 他直地站在那里，一言不发。";"<i>tā zhídì zhàn zài nàli, yīyánbùfā.</i><br></br>He stood there straight, without saying a word.";"🐇 温宁直着身子，站在那里一动不动。";"<i>wēnníngzhí zhe shēnzi, zhàn zài nàli yīdòngbùdòng.</i><br></br>Wen Ning stood straight, motionless there.";"♻❈ 公司的财务状况一直很稳定。";"<i>gōngsī de cáiwùzhuàngkuàng yīzhí hěn wěndìng.</i><br></br>The company's financial situation has always been stable."
"执照⠀";"zhízhào";"/license; permit//license; permit";"执 (execute/grasp)";"There are no other HSK words in this level (or before) using this character.";"照 (shine)";"Other words using this character: 护照 (passport); 照顾 (to take care of); 照片 (photograph); 照相机 (camera); 按照 (according to); 照 (shine); 照常 (as usual)";"❈ 他拿到了驾驶执照。";"<i>tā nádào le jiàshǐzhízhào.</i><br></br>He got his driver's license.";"❈ 这家公司有经营执照。";"<i>zhèjiā gōngsī yǒu jīngyíng zhízhào.</i><br></br>This company has a business license.";"❈ 你需要办理工作执照。";"<i>nǐ xūyào bànlǐ gōngzuò zhízhào.</i><br></br>You need to apply for a work permit.";"🐇 温情的医生执照是她的骄傲，也是她救死扶伤的资格证书。";"<i>wēnqíng de yīshēng zhízhào shì tā de jiāoào, yě shì tā jiùsǐfúshāng de zīgézhèngshū.</i><br></br>Wen Qing's medical license is her pride and the certificate of her qualification to save lives.";"♻❈ 我终于拿到了驾驶执照。";"<i>wǒ zhōngyú nádào le jiàshǐzhízhào.</i><br></br>I finally got my driver's license."
"指挥⠀";"zhǐhuī";"/to conduct/to command/to direct/conductor (of an orchestra)/CL:個|个[ge4]//to conduct/to command/to direct/conductor (of an orchestra)/CL:个[gè]";"指 (finger)";"Other words using this character: 指 (finger); 指导 (guide); 戒指 (ring); 手指 (finger)";"挥 (wave)";"Other words using this character: 发挥 (display); 挥 (wave)";"❈ 她被任命为交响乐团的指挥。";"<i>tā bèi rènmìng wéi jiāoxiǎngyuètuán de zhǐhuī.</i><br></br>She was appointed as the conductor of the symphony orchestra.";"❈ 他指挥着乐队演奏交响乐。";"<i>tā zhǐhuī zhe yuèduì yǎnzòu jiāoxiǎngyuè.</i><br></br>He is conducting the orchestra to perform a symphony.";"❈ 这位指挥在音乐会上表现出色。";"<i>zhèwèi zhǐhuī zài yīnyuèhuì shàng biǎoxiànchūsè.</i><br></br>The conductor performed exceptionally well at the concert.";"🐇 魏无羡指挥着云深不知处的防御工作。";"<i>wèiwúxiàn zhǐhuī zhe yúnshēn bùzhī chù de fángyù gōngzuò.</i><br></br>Wei Wuxian commanded the defense work at Cloud Recesses.";"♻🐇 魏无羡在游戏中扮演国王的角色，指挥着其他人。";"<i>wèiwúxiàn zài yóuxì zhōng bànyǎn guówáng de juésè, zhǐhuī zhe qítārén.</i><br></br>Wei Wuxian played the role of the king in the game, commanding others."
"制度⠀";"zhìdù";"/system (e.g. political, adminstrative etc)/institution/CL:個|个[ge4]//system (e.g. political, adminstrative etc)/institution/CL:个[gè]";"制 (control)";"Other words using this character: 复制 (copy); 控制 (control); 制定 (formulate); 制造 (manufacture); 限制 (restrict); 制作 (make)";"度 (degree)";"Other words using this character: 速度 (speed); 态度 (attitude); 温度 (temperature); 度过 (pass); 角度 (angle); 程度 (degree)";"❈ 这个国家的政治制度非常稳定。";"<i>zhège guójiā de zhèngzhì zhìdù fēicháng wěndìng.</i><br></br>The political system of this country is very stable.";"❈ 我们需要改革教育制度。";"<i>wǒmen xūyào gǎigé jiàoyù zhìdù.</i><br></br>We need to reform the education system.";"❈ 公司内部有一套严格的管理制度。";"<i>gōngsī nèibù yǒu yītào yángé de guǎnlǐzhìdù.</i><br></br>There is a strict management system within the company.";"🐇 蓝忘机努力维护云深不知处的制度，希望能够传承下去。";"<i>lánwàngjī nǔlì wéihù yúnshēn bùzhī chù de zhìdù, xīwàng nénggòu chuánchéng xiàqù.</i><br></br>Lan Wangji is working hard to maintain the system of the Cloud Recesses, hoping to pass it on.";"♻❈ 他们决定反抗不公正的制度。";"<i>tāmen juédìng fǎnkàng bù gōngzhèng de zhìdù.</i><br></br>They decided to resist the unjust system."
"制作⠀";"zhìzuò";"/to make; to manufacture//to make; to manufacture";"制 (control)";"Other words using this character: 复制 (copy); 控制 (control); 制定 (formulate); 制造 (manufacture); 限制 (restrict); 制度 (system)";"作 (do)";"Other words using this character: 工作 (work); 作业 (homework); 动作 (movement); 作家 (author); 作用 (affect); 作者 (author); 合作 (cooperate); 写作 (write); 作文 (essay); 作品 (work)";"🐇 金凌制作了一份精美的礼物，送给了蓝曦臣。";"<i>jīnlíng zhìzuò le yífèn jīngměi de lǐwù, sònggěi le lánxīchén.</i><br></br>Jin Ling made a beautiful gift and gave it to Lan Xichen.";"♻❈ 这个粉末用来制作面膜。";"<i>zhège fěnmò yònglái zhìzuò miànmó.</i><br></br>This fine powder is used to make facial masks.";"♻🐇 魏无羡和江澄一起制作了一枚火箭，他们计划进行一次太空探险。";"<i>wèiwúxiàn hé jiāngchéng yīqǐ zhìzuò le yīméi huǒjiàn, tāmen jìhuà jìnxíng yīcì tàikōngtànxiǎn.</i><br></br>Wei Wuxian and Jiang Cheng made a rocket together; they plan to embark on a space adventure.";"♻🐇 江澄在山林中砍伐竹子，用来制作竹简。";"<i>jiāngchéng zài shānlín zhōng kǎnfá zhúzi, yònglái zhìzuò zhújiǎn.</i><br></br>Jiang Cheng cuts down bamboo in the mountains to make bamboo slips.";"♻❈ 她制作了一个新的歌单。";"<i>tā zhìzuò le yīgè xīn de gēdān.</i><br></br>She made a new playlist."
"至今⠀";"zhìjīn";"/so far/to this day/until now//so far/to this day/until now";"至 (arrive)";"Other words using this character: 甚至 (even); 至少 (at least); 至于 (as for)";"今 (now)";"Other words using this character: 今天 (today); 如今 (nowadays)";"❈ 他至今没有回来。";"<i>tā zhìjīn méiyǒu huílai.</i><br></br>He has not returned until now.";"❈ 这个问题至今没有解决。";"<i>zhège wèntí zhìjīn méiyǒu jiějué.</i><br></br>This problem has not been solved so far.";"❈ 这个传统至今仍在保持。";"<i>zhège chuántǒng zhìjīn réng zài bǎochí.</i><br></br>This tradition is still being maintained to this day.";"🐇 温情的医术至今仍然被人景仰。";"<i>wēnqíng de yīshù zhìjīn réngrán bèi rén jǐngyǎng.</i><br></br>Wen Qing's medical skills are still admired to this day.";"♻❈ 当年的成就至今无人能及。";"<i>dàngnián de chéngjiù zhìjīn wúrén néng jí.</i><br></br>No one has been able to match the achievements of that very same year."
"至于⠀";"zhìyú";"/as for/as to/to go so far as to//as for/as to/to go so far as to";"至 (arrive)";"Other words using this character: 甚至 (even); 至少 (at least); 至今 (so far)";"于 (to)";"Other words using this character: 关于 (pertaining to); 终于 (finally); 对于 (regarding); 由于 (due to); 于是 (thereupon); 等于 (equal to); 善于 (good at); 位于 (be located at); 属于 (belong to); 在于 (rest with)";"❈ 至于这个决定，我认为我们需要再考虑一下。";"<i>zhìyú zhège juédìng, wǒ rènwéi wǒmen xūyào zài kǎolǜyīxià.</i><br></br>As to this decision, I think we need to reconsider.";"❈ 至于你的问题，我会尽力帮助你。";"<i>zhìyú nǐ de wèntí, wǒhuì jìnlì bāngzhù nǐ.</i><br></br>As for your question, I will do my best to help you.";"❈ 他至于不惜一切代价也要实现自己的梦想。";"<i>tā zhìyú bùxīyīqiè dàijià yě yào shíxiàn zìjǐ de mèngxiǎng.</i><br></br>He would go so far as to do anything to achieve his dream.";"❈ 至于这个问题，我们需要更多的时间来讨论。";"<i>zhìyú zhège wèntí, wǒmen xūyào gēng duō de shíjiān lái tǎolùn.</i><br></br>As to this issue, we need more time to discuss."
"治疗⠀";"zhìliáo";"/to treat (an illness)/medical treatment/therapy//to treat (an illness)/medical treatment/therapy";"治 (to rule)";"Other words using this character: 政治 (politics)";"疗 (treat)";"There are no other HSK words in this level (or before) using this character.";"❈ 这种药可以治疗感冒。";"<i>zhèzhǒng yào kěyǐ zhìliáo gǎnmào.</i><br></br>This medicine can treat a cold.";"❈ 医生建议进行物理治疗。";"<i>yīshēng jiànyì jìnxíng wùlǐ zhìliáo.</i><br></br>The doctor suggested physical therapy.";"❈ 他正在接受心理治疗。";"<i>tā zhèngzài jiēshòu xīnlǐzhìliáo.</i><br></br>He is undergoing psychological therapy.";"🐇 金凌学医治疗伤员，希望能帮助更多的人。";"<i>jīnlíng xuéyī zhìliáo shāngyuán, xīwàng néng bāngzhù gēng duō de rén.</i><br></br>Jin Ling is studying medicine to treat the wounded, hoping to help more people.";"♻🐇 温情为受伤的旅客治疗伤势，展现出医者仁心。";"<i>wēnqíng wéi shòushāng de lǚkè zhìliáo shāngshì, zhǎnxiànchū yīzhě rénxīn.</i><br></br>Wen Qing treated the injuries of the injured traveler, showing her compassion as a doctor."
"志愿者⠀";"zhìyuànzhě";"/volunteer//volunteer";"志 (aspiration)";"Other words using this character: 杂志 (magazine); 标志 (sign)";"愿 (wish)";"Other words using this character: 愿意 (willing); 愿望 (desire); 自愿 (voluntary)";"者 (one who)";"Other words using this character: 或者 (or); 记者 (reporter); 作者 (author)";"❈ 我们需要更多的志愿者来帮助这个项目。";"<i>wǒmen xūyào gēng duō de zhìyuànzhě lái bāngzhù zhège xiàngmù.</i><br></br>We need more volunteers to help with this project.";"❈ 她是一名志愿者，经常参加慈善活动。";"<i>tā shì yīmíng zhìyuànzhě, jīngcháng cānjiā císhàn huódòng.</i><br></br>She is a volunteer and often participates in charity events.";"❈ 志愿者们为社区做出了很多贡献。";"<i>zhìyuànzhě men wéi shèqū zuòchū le hěnduō gòngxiàn.</i><br></br>Volunteers have made a lot of contributions to the community.";"🐇 金凌是一名热心的志愿者，经常参加各种公益活动。";"<i>jīnlíngshì yīmíng rèxīn de zhìyuànzhě, jīngcháng cānjiā gèzhǒng gōngyìhuódòng.</i><br></br>Jin Ling is an enthusiastic volunteer who often participates in various public welfare activities.";"♻❈ 大批志愿者参与了清洁活动。";"<i>dàpī zhìyuànzhě cānyù le qīngjié huódòng.</i><br></br>Large quantities of volunteers participated in the cleaning activity."
"中心⠀";"zhōngxīn";"/center; heart; core//center; heart; core";"中 (middle)";"Other words using this character: 中国 (China); 中午 (noon); 中文 (Chinese language); 中间 (the middle); 其中 (among); 集中 (concentrate); 中介 (intermediary); 中旬 (middle third)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 这个城市的中心很繁华。";"<i>zhège chéngshì de zhōngxīn hěn fánhuá.</i><br></br>The center of this city is very prosperous.";"❈ 他是这个项目的中心人物。";"<i>tā shì zhège xiàngmù de zhōngxīn rénwù.</i><br></br>He is the central figure of this project.";"❈ 这个问题的中心是什么？";"<i>zhège wèntí de zhōngxīn shì shénme?</i><br></br>What is the core of this issue?"
"种类⠀";"zhǒnglèi";"/kind/genus/type/category/variety/species/sort/class//kind/genus/type/category/variety/species/sort/class";"种 (seed)";"Other words using this character: 种 (seed)";"类 (type)";"Other words using this character: 人类 (humanity); 类型 (type)";"❈ 这个市场上有各种不同种类的水果。";"<i>zhège shìchǎng shàng yǒu gèzhǒng bùtóng zhǒnglèi de shuǐguǒ.</i><br></br>There are various types of fruits in this market.";"❈ 这个动物园有很多不同种类的动物。";"<i>zhège dòngwùyuán yǒu hěnduō bùtóng zhǒnglèi de dòngwù.</i><br></br>This zoo has many different species of animals.";"❈ 这个商店有各种不同种类的商品。";"<i>zhège shāngdiàn yǒu gèzhǒng bùtóng zhǒnglèi de shāngpǐn.</i><br></br>This store has various kinds of different goods.";"🐇 温宁擅长修复各种类的器物。";"<i>wēnníng shàncháng xiūfù gèzhǒng lèi de qìwù.</i><br></br>Wen Ning is skilled at repairing various types of objects.";"♻❈ 这个地区的害虫种类很多。";"<i>zhège dìqū de hàichóng zhǒnglèi hěnduō.</i><br></br>There are many types of injurious insects in this area."
"重大⠀";"zhòngdà";"/great/important/major/significant//great/important/major/significant";"重 (heavy)";"Other words using this character: 重要 (important); 重新 (again); 严重 (serious); 重 (heavy); 重点 (focus); 重视 (value); 尊重 (to respect); 重复 (repeat); 重量 (weight)";"大 (big)";"Other words using this character: 大 (big); 大家 (everyone); 大概 (roughly); 大使馆 (embassy); 大约 (approximately); 大夫 (doctor); 大厦 (grand building); 大象 (elephant); 广大 (widespread); 巨大 (huge)";"❈ 这是一个重大的决定。";"<i>zhèshì yīgè zhòngdà de juédìng.</i><br></br>This is a major decision.";"❈ 他在公司中扮演着重大的角色。";"<i>tā zài gōngsī zhōng bànyǎnzhe zhòngdà de juésè.</i><br></br>He plays a significant role in the company.";"❈ 这个发现对科学界来说非常重大。";"<i>zhège fāxiàn duì kēxuéjiè láishuō fēicháng zhòngdà.</i><br></br>This discovery is very significant for the scientific community.";"❈ 这个消息对他来说非常重大。";"<i>zhège xiāoxi duì tā láishuō fēicháng zhòngdà.</i><br></br>This news is very important to him."
"重量⠀";"zhòngliàng";"/weight/CL:個|个[ge4]//weight/CL:个[gè]";"重 (heavy)";"Other words using this character: 重要 (important); 重新 (again); 严重 (serious); 重 (heavy); 重点 (focus); 重视 (value); 尊重 (to respect); 重复 (repeat); 重大 (important)";"量 (measure)";"Other words using this character: 商量 (consult); 数量 (quantity); 质量 (quality); 尽量 (as much as possible); 力量 (power)";"❈ 这个物体的重量是多少？";"<i>zhège wùtǐ de zhòngliàng shì duōshǎo?</i><br></br>What is the weight of this object?";"❈ 这个箱子的重量超过了规定的标准。";"<i>zhège xiāngzi de zhòngliàng chāoguò le guīdìng de biāozhǔn.</i><br></br>The weight of this box exceeds the prescribed standard.";"❈ 这个箱子的重量超过了限制。";"<i>zhège xiāngzi de zhòngliàng chāoguò le xiànzhì.</i><br></br>The weight of this box exceeds the limit.";"🐇 金凌举起重量很重的锤子，开始练习打铁。";"<i>jīnlíng jǔqǐ zhòngliàng hěnzhòng de chuízi, kāishǐ liànxí dǎtiě.</i><br></br>Jin Ling lifted a very heavy hammer and began practicing blacksmithing."
"猪⠀";"zhū";"/hog/pig/swine/CL:口[kou3],頭|头[tou2]//hog/pig/swine/CL:口[kǒu],头[tóu]";"猪 (pig)";"There are no other HSK words in this level (or before) using this character.";"❈ 他被人骂成了一头猪。";"<i>tā bèi rén mà chéng le yītóu zhū.</i><br></br>He was scolded as a pig.";"❈ 他家养了一头猪。";"<i>tā jiāyǎng le yītóu zhū.</i><br></br>His family raises a pig.";"❈ 这个小猪非常可爱。";"<i>zhège xiǎozhū fēicháng kěài.</i><br></br>This little pig is very cute.";"🐇 温宁喂养了一头猪，希望它能陪伴自己度过孤独的时光。";"<i>wēnníng wèiyǎng le yītóu zhū, xīwàng tā néng péibàn zìjǐ dùguò gūdú de shíguāng.</i><br></br>Wen Ning raised a pig, hoping it would accompany him through lonely times.";"♻🐇 温宁负责喂养莲花坞的鸡鸭鱼猪，确保它们健康成长。";"<i>wēnníng fùzé wèiyǎng liánhuā wù de jīyā yúzhū, quèbǎo tāmen jiànkāngchéngcháng.</i><br></br>Wen Ning is responsible for feeding the chickens, ducks, fish, and pigs in Lotus Pier, ensuring their healthy growth."
"逐渐⠀";"zhújiàn";"/gradually//gradually";"逐 (pursue)";"Other words using this character: 逐步 (progressively)";"渐 (gradually)";"There are no other HSK words in this level (or before) using this character.";"❈ 她逐渐适应了新的工作环境。";"<i>tā zhújiàn shìyìng le xīn de gōngzuò huánjìng.</i><br></br>She gradually adapted to the new work environment.";"❈ 这个城市的发展逐渐加快。";"<i>zhège chéngshì de fāzhǎn zhújiàn jiākuài.</i><br></br>The development of this city is gradually accelerating.";"❈ 他的健康状况逐渐好转。";"<i>tā de jiànkāngzhuàngkuàng zhújiàn hǎozhuǎn.</i><br></br>His health condition is gradually improving.";"🐇 金凌逐渐接受了自己的身世。";"<i>jīnlíng zhújiàn jiēshòu le zìjǐ de shēnshì.</i><br></br>Jin Ling gradually accepted his own background.";"♻❈ 女性的地位正在逐渐提高。";"<i>nǚxìng de dìwèi zhèngzài zhújiàn tígāo.</i><br></br>The status of women is gradually improving."
"煮⠀";"zhǔ";"/to cook/to boil//to cook; to boil";"煮 (cook)";"There are no other HSK words in this level (or before) using this character.";"❈ 他喜欢煮粥。";"<i>tā xǐhuan zhǔzhōu.</i><br></br>He likes to cook porridge.";"❈ 她正在厨房里煮饭。";"<i>tā zhèngzài chúfáng lǐ zhǔfàn.</i><br></br>She is cooking in the kitchen.";"❈ 请你帮我煮一壶水。";"<i>qǐng nǐ bāng wǒ zhǔ yīhúshuǐ.</i><br></br>Could you help me boil a pot of water?";"🐇 温情煮了一锅鸡汤，喂给了病重的温宁。";"<i>wēnqíng zhǔ le yīguō jītāng, wèigěi le bìngzhòng de wēnníng.</i><br></br>Wen Qing cooked a pot of chicken soup and fed it to the seriously ill Wen Ning.";"♻❈ 她煮的燕麦粥很好吃。";"<i>tā zhǔ de yànmàizhōu hěn hàochī.</i><br></br>The oatmeal porridge she cooked is delicious."
"主动⠀";"zhǔdòng";"/to take the initiative/to do sth of one's own accord/spontaneous/active/opposite: passive 被動|被动[bei4 dong4]/drive (of gears and shafts etc)//to take the initiative/to do sth of one's own accord/spontaneous/active/opposite: passive 被動|被动[bèi dòng]/drive (of gears and shafts etc)";"主 (owner)";"Other words using this character: 主要 (main); 主意 (plan); 主持 (host); 主观 (subjective); 主题 (theme); 主任 (director); 公主 (princess); 主人 (master); 主席 (chairperson); 主张 (advocate)";"动 (move)";"Other words using this character: 运动 (exercise); 动物 (animal); 动作 (movement); 感动 (moving); 活动 (exercise); 激动 (excite); 动画片 (animated film); 劳动 (work); 生动 (vivid); 自动 (automatic)";"❈ 他总是很主动地帮助别人。";"<i>tā zǒngshì hěn zhǔdòng dì bāngzhù biéren.</i><br></br>He always takes the initiative to help others.";"❈ 在这个项目中，我们需要更主动一些。";"<i>zài zhège xiàngmù zhōng, wǒmen xūyào gēng zhǔdòng yīxiē.</i><br></br>In this project, we need to be more proactive.";"❈ 她是一个很主动的人。";"<i>tā shì yīgè hěn zhǔdòng de rén.</i><br></br>She is a very proactive person.";"🐇 金凌主动承担起家族的责任。";"<i>jīnlíng zhǔdòng chéngdān qǐ jiāzú de zérèn.</i><br></br>Jin Ling took the initiative to shoulder the responsibility of the family.";"♻🐇 蓝忘机看到魏无羡喜欢的东西，就主动给他打折。";"<i>lánwàngjī kàndào wèiwúxiàn xǐhuan de dōngxi, jiù zhǔdòng gěi tā dǎzhé.</i><br></br>Lan Wangji took the initiative to give Wei Wuxian a discount when he saw something he liked."
"主人⠀";"zhǔrén";"/master/host/owner/CL:個|个[ge4]//master/host/owner/CL:个[gè]";"主 (owner)";"Other words using this character: 主要 (main); 主意 (plan); 主持 (host); 主观 (subjective); 主题 (theme); 主任 (director); 公主 (princess); 主动 (initiative); 主席 (chairperson); 主张 (advocate)";"人 (person)";"Other words using this character: 人 (person); 男人 (man); 女人 (wife); 别人 (others); 客人 (visitor); 成人 (adulthood); 敌人 (enemy); 个人 (individual); 人才 (talent); 人类 (humanity)";"❈ 他是这个餐厅的主人。";"<i>tā shì zhège cāntīng de zhǔrén.</i><br></br>He is the owner of this restaurant.";"❈ 这个房子的主人是一个老人。";"<i>zhège fángzi de zhǔrén shì yīgè lǎorén.</i><br></br>The owner of this house is an old person.";"❈ 她是这只狗的主人。";"<i>tā shì zhè zhǐ gǒu de zhǔrén.</i><br></br>She is the master of this dog.";"🐇 金子轩是这家企业的主人，他的决策影响着整个行业。";"<i>jīnzi xuānshì zhèjiā qǐyè de zhǔrén, tā de juécè yǐngxiǎng zhe zhěnggè hángyè.</i><br></br>Jin Zixuan is the owner of this company, and his decisions affect the entire industry.";"♻❈ 这个物品需要归还给原主人。";"<i>zhège wùpǐn xūyào guīhuángěi yuán zhǔrén.</i><br></br>This item needs to be returned to the original owner."
"主席⠀";"zhǔxí";"/chairperson/premier/chairman/CL:個|个[ge4],位[wei4]//chairperson/premier/chairman/CL:个[gè],位[wèi]";"主 (owner)";"Other words using this character: 主要 (main); 主意 (plan); 主持 (host); 主观 (subjective); 主题 (theme); 主任 (director); 公主 (princess); 主动 (initiative); 主人 (master); 主张 (advocate)";"席 (mat)";"Other words using this character: 出席 (attend)";"❈ 他是学生会的主席，负责组织各项活动。";"<i>tā shì xuéshenghuì de zhǔxí, fùzé zǔzhī gèxiàng huódòng.</i><br></br>He is the chairperson of the student union, responsible for organizing various activities.";"❈ 公司的主席将会主持会议。";"<i>gōngsī de zhǔxí jiānghuì zhǔchíhuìyì.</i><br></br>The chairman of the company will preside over the meeting.";"❈ 这个组织的主席是一位非常有影响力的人。";"<i>zhège zǔzhī de zhǔxí shì yīwèi fēicháng yǒu yǐngxiǎnglì de rén.</i><br></br>The chairman of this organization is a very influential person.";"🐇 蓝曦臣是蓝家的主席。";"<i>lánxīchén shì lánjiā de zhǔxí.</i><br></br>Lan Xichen is the chairman of the Lan clan.";"♻❈ 明天是学生会主席的选举日。";"<i>míngtiān shì xuéshenghuì zhǔxí de xuǎnjǔ rì.</i><br></br>Tomorrow is the election day for the student council president."
