"唉⠀";"āi||ài";"/alas/oh dear//interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh||alas; oh dear";"唉 (sigh)";"There are no other HSK words in this level (or before) using this character.";"❈ 唉，我真的不知道该怎么办。";"<i>āi, wǒ zhēnde bù zhīdào gāi zěnmebàn.</i><br></br>Oh dear, I really don't know what to do.";"❈ 唉，这个消息真让人难过。";"<i>āi, zhège xiāoxi zhēnràngrén nánguò.</i><br></br>Alas, this news is really sad.";"❈ 唉，这件事真让人伤心。";"<i>āi, zhèjiàn shì zhēnràngrén shāngxīn.</i><br></br>Alas, this is really heartbreaking.";"🐇 唉，这世上怎么会有如此狡诈的人。";"<i>āi, zhè shìshàng zěnme huì yǒu rúcǐ jiǎozhà de rén.</i><br></br>Oh dear, how can there be such cunning people in this world."
"爱心⠀";"àixīn";"/compassion/kindness/care for others/love/CL:片[pian4]/charity (bazaar, golf day etc)/heart (the symbol ♥)//compassion/kindness/care for others/love/CL:片[piàn]/charity (bazaar, golf day etc)/heart (the symbol ♥)";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable); 爱情 (romance); 亲爱 (dear); 热爱 (love ardently); 爱护 (cherish); 爱惜 (cherish); 恋爱 (love); 疼爱 (love dearly)";"心 (heart)";"Other words using this character: 担心 (worried); 放心 (reassured); 关心 (concerned); 小心 (careful); 粗心 (careless); 开心 (happy); 耐心 (patience); 伤心 (grieve); 心情 (mood); 信心 (confidence)";"❈ 她的爱心感动了很多人。";"<i>tā de àixīn gǎndòng le hěnduō rén.</i><br></br>Her compassion touched many people.";"❈ 这个慈善机构一直在倡导爱心。";"<i>zhège císhànjīgòu yīzhí zài chàngdǎo àixīn.</i><br></br>This charity has been advocating love and compassion.";"❈ 送一颗爱心给需要帮助的人。";"<i>sòng yīkē àixīn gěi xūyào bāngzhù de rén.</i><br></br>Send a heart to those in need of help.";"🐇 温情在慈善晚宴上展现了她的爱心。";"<i>wēnqíng zài císhàn wǎnyàn shàng zhǎnxiàn le tā de àixīn.</i><br></br>Wen Qing showed her compassion at the charity gala.";"♻🐇 魏无羡对待小狗总是充满爱心，他特别喜欢犬。";"<i>wèiwúxiàn duìdài xiǎogǒu zǒngshì chōngmǎn àixīn, tā tèbié xǐhuan quǎn.</i><br></br>Wei Wuxian is always loving towards puppies; he especially likes dogs."
"询问⠀";"xúnwèn";"/to inquire//to inquire";"询 (inquire)";"Other words using this character: 咨询 (consult)";"问 (ask)";"Other words using this character: 问题 (question); 问 (ask); 问候 (greeting); 疑问 (doubt); 提问 (question); 学问 (knowledge)";"❈ 我需要询问一下你的意见。";"<i>wǒ xūyào xúnwèn yīxià nǐ de yìjiàn.</i><br></br>I need to inquire about your opinion.";"❈ 他向老师询问了作业的要求。";"<i>tā xiàng lǎoshī xúnwèn le zuòyè de yāoqiú.</i><br></br>He inquired the teacher about the homework requirements.";"❈ 如果有任何问题，请随时询问。";"<i>rúguǒ yǒu rènhé wèntí, qǐng suíshí xúnwèn.</i><br></br>If you have any questions, feel free to inquire.";"🐇 蓝湛询问魏无羡是否需要帮助。";"<i>lánzhàn xúnwèn wèiwúxiàn shìfǒu xūyào bāngzhù.</i><br></br>Lan Zhan inquired if Wei Wuxian needed help.";"♻❈ 他向我询问如何学习汉语。";"<i>tā xiàng wǒ xúnwèn rúhé xuéxí hànyǔ.</i><br></br>He asked me how to learn Chinese."
"训练⠀";"xùnliàn";"/to train/to drill/training/CL:個|个[ge4]//to train/to drill/training/CL:个[gè]";"训 (teach)";"Other words using this character: 教训 (provide guidance); 培训 (training)";"练 (practice/train)";"Other words using this character: 练习 (practice); 熟练 (skilled); 教练 (instructor)";"❈ 她花了很长时间来训练她的狗。";"<i>tā huā le hěn chángshíjiān lái xùnliàn tā de gǒu.</i><br></br>She spent a long time training her dog.";"❈ 这个团队每天都会进行严格的训练。";"<i>zhège tuánduì měitiān dōu huì jìnxíng yángé de xùnliàn.</i><br></br>This team undergoes rigorous training every day.";"❈ 训练的目的是提高技能。";"<i>xùnliàn de mùdì shì tígāo jìnéng.</i><br></br>The purpose of training is to improve skills.";"🐇 魏无羡每天都在训练自己的降龙十八掌。";"<i>wèiwúxiàn měitiān dōu zài xùnliàn zìjǐ de jiànglóngshíbāzhǎng.</i><br></br>Wei Wuxian trains his Demonic Cultivation skills every day.";"♻❈ 士兵们在训练中表现出色。";"<i>shìbīng men zài xùnliàn zhōng biǎoxiànchūsè.</i><br></br>The soldiers performed well in training."
"押金⠀";"yājīn";"/deposit/down payment//deposit/down payment";"押 (mortgage)";"There are no other HSK words in this level (or before) using this character.";"金 (gold)";"Other words using this character: 奖金 (bonus); 现金 (cash); 黄金 (gold); 金属 (metal); 资金 (funds)";"❈ 租房需要交押金。";"<i>zūfáng xūyào jiāo yājīn.</i><br></br>You need to pay a deposit when renting a house.";"❈ 这个项目需要支付一笔押金。";"<i>zhège xiàngmù xūyào zhīfù yībǐ yājīn.</i><br></br>This project requires a down payment.";"❈ 他们要求支付一定数额的押金。";"<i>tāmen yāoqiú zhīfù yīdìng shùé de yājīn.</i><br></br>They require a certain amount of deposit to be paid.";"❈ 这个产品需要支付一定的押金。";"<i>zhège chǎnpǐn xūyào zhīfù yīdìng de yājīn.</i><br></br>This product requires a certain down payment.";"❈ 租房时通常需要支付押金。";"<i>zūfáng shí tōngcháng xūyào zhīfù yājīn.</i><br></br>Usually, a deposit is required when renting a house."
"牙齿⠀";"yáchǐ";"/tooth/dental/CL:顆|颗[ke1]//tooth/dental/CL:颗[kē]";"牙 (tooth)";"Other words using this character: 刷牙 (brush teeth); 牙膏 (toothpaste)";"齿 (tooth)";"There are no other HSK words in this level (or before) using this character.";"❈ 她的牙齿很整齐。";"<i>tā de yáchǐ hěn zhěngqí.</i><br></br>Her teeth are very neat.";"❈ 他的牙齿疼得厉害。";"<i>tā de yáchǐ téngdé lìhai.</i><br></br>His teeth hurt badly.";"❈ 牙齿是我们身体的一部分。";"<i>yáchǐ shì wǒmen shēntǐ de yībùfen.</i><br></br>Teeth are part of our body.";"♻❈ 早晚刷牙对牙齿很重要。";"<i>zǎowǎn shuāyá duì yáchǐ hěn zhòngyào.</i><br></br>Brushing your teeth in the morning and evening is very important for your teeth.";"♻❈ 这支牙膏有助于牙齿健康。";"<i>zhèzhī yágāo yǒuzhùyú yáchǐ jiànkāng.</i><br></br>This toothpaste helps with dental health."
"宴会⠀";"yànhuì";"/banquet/feast/dinner party/CL:席[xi2],個|个[ge4]//banquet/feast/dinner party/CL:席[xí],个[gè]";"宴 (feast)";"There are no other HSK words in this level (or before) using this character.";"会 (can)";"Other words using this character: 会 (can); 会议 (meeting); 机会 (opportunity); 一会儿 (moment); 聚会 (gathering); 社会 (society); 误会 (misunderstand); 约会 (appointment); 会计 (accountant); 体会 (realize)";"❈ 她喜欢参加各种宴会。";"<i>tā xǐhuan cānjiā gèzhǒng yànhuì.</i><br></br>She likes to attend various dinner parties.";"❈ 他们定期举办宴会来庆祝节日。";"<i>tāmen dìngqī jǔbàn yànhuì lái qìngzhù jiérì.</i><br></br>They hold banquets regularly to celebrate holidays.";"❈ 今晚公司举办了一场盛大的宴会。";"<i>jīnwǎn gōngsī jǔbàn le yīcháng shèngdà de yànhuì.</i><br></br>Tonight the company held a grand banquet.";"🐇 蓝忘机不太喜欢参加宴会，他更喜欢安静的地方。";"<i>lánwàngjī bù tài xǐhuan cānjiā yànhuì, tā gēng xǐhuan ānjìng de dìfāng.</i><br></br>Lan Wangji doesn't really like attending banquets; he prefers quiet places.";"♻❈ 国王在宫殿里举行了盛大的宴会。";"<i>guówáng zài gōngdiàn lǐ jǔxíng le shèngdà de yànhuì.</i><br></br>The king held a grand banquet in the palace."
"痒⠀";"yǎng";"/to itch/to tickle//to itch; to tickle";"痒 (itch)";"There are no other HSK words in this level (or before) using this character.";"❈ 这件衣服让我痒。";"<i>zhèjiàn yīfú ràng wǒ yǎng.</i><br></br>This clothing makes me itch.";"❈ 被蚊子叮了之后，皮肤会很痒。";"<i>bèi wénzi dīng le zhīhòu, pífū huì hěn yǎng.</i><br></br>After being bitten by a mosquito, the skin will itch.";"❈ 我的脚痒了。";"<i>wǒ de jiǎoyǎng le.</i><br></br>My foot itches.";"❈ 这种药可以止痒。";"<i>zhèzhǒng yào kěyǐ zhǐyǎng.</i><br></br>This medicine can relieve itching.";"❈ 她的脚痒了。";"<i>tā de jiǎoyǎng le.</i><br></br>Her foot itches."
"样式⠀";"yàngshì";"/type/style//type/style";"样 (appearance)";"Other words using this character: 怎么样 (how?); 一样 (same); 样子 (appearance)";"式 (type)";"Other words using this character: 正式 (formal); 方式 (way); 开幕式 (opening ceremony); 形式 (outer appearance)";"❈ 这个房间的样式很有特色。";"<i>zhège fángjiān de yàngshì hěn yǒu tèsè.</i><br></br>The style of this room is very distinctive.";"❈ 她总是喜欢尝试新的样式。";"<i>tā zǒngshì xǐhuan chángshì xīn de yàngshì.</i><br></br>She always likes to try new styles.";"❈ 这个样式的衣服很受欢迎。";"<i>zhège yàngshì de yīfú hěn shòuhuānyíng.</i><br></br>This style of clothing is very popular.";"🐇 魏无羡的样式独特，总是能引起众人的注意。";"<i>wèiwúxiàn de yàngshì dútè, zǒngshì néng yǐnqǐ zhòngrén de zhùyì.</i><br></br>Wei Wuxian's style is unique and always catches everyone's attention.";"♻❈ 他的穿着样式很独特。";"<i>tā de chuānzhuó yàngshì hěn dútè.</i><br></br>His style of dressing is very unique."
"腰⠀";"yāo";"/waist/lower back/pocket/middle/loins//waist/lower back/pocket/middle/loins";"腰 (waist)";"There are no other HSK words in this level (or before) using this character.";"❈ 他腰部受伤了，需要休息。";"<i>tā yāobù shòushāng le, xūyào xiūxi.</i><br></br>He injured his lower back and needs to rest.";"❈ 她系着一条红色的腰带。";"<i>tā xì zhe yītiáo hóngsè de yāodài.</i><br></br>She is wearing a red waist belt.";"❈ 这条裙子的腰部设计很漂亮。";"<i>zhè tiáo qúnzi de yāobù shèjì hěnpiāoliàng.</i><br></br>The waist design of this skirt is very beautiful.";"🐇 蓝忘机的腰力十分惊人，能够举起沉重的物品。";"<i>lánwàngjī de yāolì shífēn jīngrén, nénggòu jǔqǐ chénzhòng de wùpǐn.</i><br></br>Lan Wangji has amazing waist strength and can lift heavy objects.";"♻❈ 她伸了一个懒腰。";"<i>tā shēn le yīgè lǎnyāo.</i><br></br>She stretched herself with a yawn."
"咬⠀";"yǎo";"/variant of 咬[yao3]//to bite; to nip";"咬 (bite)";"There are no other HSK words in this level (or before) using this character.";"❈ 他咬了一口苹果。";"<i>tā yǎoleyīkǒu píngguǒ.</i><br></br>He took a bite of the apple.";"❈ 狗咬了我一口。";"<i>gǒu yǎo le wǒ yīkǒu.</i><br></br>The dog bit me.";"❈ 这只蚊子咬得我好痒。";"<i>zhè zhǐ wénzi yǎo dé wǒ hǎo yǎng.</i><br></br>This mosquito bite is so itchy.";"❈ 这只蚊子咬得我很痒。";"<i>zhè zhǐ wénzi yǎo dé wǒ hěn yǎng.</i><br></br>This mosquito bite is very itchy.";"❈ 狗咬了他的手。";"<i>gǒu yǎo le tā de shǒu.</i><br></br>The dog bit his hand."
"夜⠀";"yè";"/night//night";"夜 (night)";"Other words using this character: 熬夜 (stay up late)";"🐇 魏无羡喜欢在夜晚散步，享受宁静的夜色。";"<i>wèiwúxiàn xǐhuan zài yèwǎn sànbù, xiǎngshòu níngjìng de yèsè.</i><br></br>Wei Wuxian enjoys taking a walk at night, savoring the tranquil night.";"♻❈ 夜晚的天空很美。";"<i>yèwǎn de tiānkōng hěn měi.</i><br></br>The night sky is beautiful.";"♻❈ 这场风暴狂吹了一整夜。";"<i>zhèchǎng fēngbào kuángchuī le yīzhěngyè.</i><br></br>The storm raged all night."
"业余⠀";"yèyú";"/in one's spare time/outside working hours/amateur (historian etc)//in one's spare time/outside working hours/amateur (historian etc)";"业 (occupation)";"Other words using this character: 作业 (homework); 毕业 (graduation); 职业 (occupation); 专业 (specialty); 工业 (industry); 农业 (agriculture); 行业 (industry); 企业 (enterprise); 商业 (business); 失业 (unemployment)";"余 (surplus)";"Other words using this character: 多余 (surplus); 其余 (the rest)";"❈ 他是一个业余画家。";"<i>tā shì yīgè yèyú huàjiā.</i><br></br>He is an amateur painter.";"❈ 她喜欢在业余时间看书。";"<i>tā xǐhuan zài yèyúshíjiān kànshū.</i><br></br>She likes to read books in her spare time.";"❈ 业余爱好可以丰富生活。";"<i>yèyúàihào kěyǐ fēngfù shēnghuó.</i><br></br>Hobbies in spare time can enrich life.";"🐇 魏无羡喜欢在业余时间弹琴。";"<i>wèiwúxiàn xǐhuan zài yèyúshíjiān tánqín.</i><br></br>Wei Wuxian likes to play the qin in his spare time.";"♻🐇 蓝曦臣加入了许多文化活动，丰富了自己的业余生活。";"<i>lánxīchén jiārù le xǔduō wénhuà huódòng, fēngfù le zìjǐ de yèyúshēnghuó.</i><br></br>Lan Xichen participated in many cultural activities, enriching his leisure time."
"依然⠀";"yīrán";"/still; as before//still; as before";"依 (depend)";"There are no other HSK words in this level (or before) using this character.";"然 (correct)";"Other words using this character: 当然 (certainly); 然后 (Then); 突然 (sudden); 既然 (since); 竟然 (unexpectedly); 然而 (however); 仍然 (still); 自然 (natural); 必然 (inevitable); 不然 (otherwise)";"❈ 这个问题依然存在。";"<i>zhège wèntí yīrán cúnzài.</i><br></br>This problem still exists.";"❈ 他依然保持着乐观的态度。";"<i>tā yīrán bǎochí zhe lèguān de tàidu.</i><br></br>He still maintains an optimistic attitude.";"❈ 她依然记得那个美好的夏天。";"<i>tā yīrán jìde nàgè měihǎo de xiàtiān.</i><br></br>She still remembers that beautiful summer.";"🐇 温情的坚韧依然如初。";"<i>wēnqíng de jiānrèn yīrán rúchū.</i><br></br>Wen Qing's resilience remains as before.";"♻🐇 温宁的肺部受到了重创，但他依然坚持工作。";"<i>wēnníng de fèibù shòudào le zhòngchuāng, dàn tā yīrán jiānchí gōngzuò.</i><br></br>Wen Ning's lungs were severely injured, but he still insists on working."
"一旦⠀";"yīdàn";"/in case (sth happens)/if/once (sth happens, then...)/when/in a short time/in one day//in case (sth happens)/if/once (sth happens, then...)/when/in a short time/in one day";"一 (one)";"Other words using this character: 一 (one); 一点儿 (a little); 第一 (first); 一起 (together); 一下 (give it a go); 一定 (certainly); 一共 (altogether); 一会儿 (moment); 一样 (same); 一般 (ordinary)";"旦 (dawn)";"Other words using this character: 元旦 (New Year's Day)";"❈ 一旦你需要帮助，我会立刻过来。";"<i>yīdàn nǐ xūyào bāngzhù, wǒhuì lìkè guòlái.</i><br></br>If you need help, I will come over immediately.";"❈ 一旦发生地震，我们要迅速撤离。";"<i>yīdàn fāshēng dìzhèn, wǒmen yào xùnsù chèlí.</i><br></br>In case of an earthquake, we need to evacuate quickly.";"❈ 一旦他决定了，就不会改变主意。";"<i>yīdàn tā juédìng le, jiù bùhuì gǎibiàn zhǔyi.</i><br></br>Once he decides, he won't change his mind.";"🐇 一旦温情下定决心，就会全力以赴。";"<i>yīdàn wēnqíng xiàdìngjuéxīn, jiù huì quánlìyǐfù.</i><br></br>Once Wen Qing makes up her mind, she will go all out.";"♻🐇 蓝忘机总是严格要求自己，一旦出现错误就会立即改正。";"<i>lánwàngjī zǒngshì yángéyàoqiú zìjǐ, yīdàn chūxiàn cuòwù jiù huì lìjí gǎizhèng.</i><br></br>Lan Wangji always demands strictness from himself; once an error appears, he will immediately correct it."
"一致⠀";"yīzhì";"/consistent; unanimous; in agreement/together; in unison//consistent; unanimous; in agreement/together; in unison";"一 (one)";"Other words using this character: 一 (one); 一点儿 (a little); 第一 (first); 一起 (together); 一下 (give it a go); 一定 (certainly); 一共 (altogether); 一会儿 (moment); 一样 (same); 一般 (ordinary)";"致 (send)";"Other words using this character: 导致 (lead to)";"❈ 我们对这个问题的看法是一致的。";"<i>wǒmen duì zhège wèntí de kànfǎ shì yīzhì de.</i><br></br>We have a consistent view on this issue.";"❈ 他们一致同意这个计划。";"<i>tāmen yīzhìtóngyì zhège jìhuà.</i><br></br>They unanimously agree on this plan.";"❈ 大家一致认为这是最好的选择。";"<i>dàjiā yīzhì rènwéi zhèshì zuìhǎo de xuǎnzé.</i><br></br>Everyone agrees that this is the best choice.";"🐇 魏无羡和蓝忘机的意见总是一致的。";"<i>wèiwúxiàn hé lánwàngjī de yìjiàn zǒngshì yīzhì de.</i><br></br>Wei Wuxian and Lan Wangji's opinions are always consistent.";"♻🐇 我们应该团结一致，共同对抗强敌。";"<i>wǒmen yīnggāi tuánjiéyīzhì, gòngtóng duìkàng qiángdí.</i><br></br>We should unite and fight against the strong enemy together."
"一再⠀";"yīzài";"/repeatedly//repeatedly";"一 (one)";"Other words using this character: 一 (one); 一点儿 (a little); 第一 (first); 一起 (together); 一下 (give it a go); 一定 (certainly); 一共 (altogether); 一会儿 (moment); 一样 (same); 一般 (ordinary)";"再 (again)";"Other words using this character: 再见 (goodbye); 再 (again); 再三 (over and over)";"❈ 这个问题一再出现在我们的讨论中。";"<i>zhège wèntí yīzài chūxiàn zài wǒmen de tǎolùn zhōng.</i><br></br>This issue repeatedly appeared in our discussion.";"❈ 她一再道歉，希望得到原谅。";"<i>tā yīzài dàoqiàn, xīwàng dédào yuánliàng.</i><br></br>She repeatedly apologized, hoping to be forgiven.";"❈ 他一再强调这个观点。";"<i>tā yīzàiqiángdiào zhège guāndiǎn.</i><br></br>He repeatedly emphasized this point.";"🐇 魏无羡一再警告江澄不要得罪蓝忘机。";"<i>wèiwúxiàn yīzài jǐnggào jiāngchéng bùyào dézui lánwàngjī.</i><br></br>Wei Wuxian repeatedly warned Jiang Cheng not to offend Lan Wangji."
"移民⠀";"yímín";"/to immigrate/to migrate/emigrant/immigrant//to immigrate/to migrate/emigrant/immigrant";"移 (to move)";"Other words using this character: 移动 (move)";"民 (people)";"Other words using this character: 民族 (nationality); 农民 (farmer); 人民币 (Renminbi)";"❈ 爷爷年轻时曾经移民到美国。";"<i>yéye niánqīng shí céngjīng yímín dào měiguó.</i><br></br>Grandpa once immigrated to the United States when he was young.";"❈ 移民是一个国家的重要组成部分。";"<i>yímín shì yīgè guójiā de zhòngyào zǔchéngbùfèn.</i><br></br>Immigration is an important part of a country.";"❈ 他们一家人移民到了加拿大。";"<i>tāmen yījiārén yímín dào le jiānádà.</i><br></br>The whole family immigrated to Canada.";"🐇 魏无羡的父母决定移民到一座小镇上。";"<i>wèiwúxiàn de fùmǔ juédìng yímín dào yīzuò xiǎozhèn shàng.</i><br></br>Wei Wuxian's parents decided to immigrate to a small town.";"♻❈ 许多华裔移民定居在这个国家。";"<i>xǔduō huáyì yímín dìngjū zài zhège guójiā.</i><br></br>Many ethnic Chinese immigrants settle in this country."
"疑问⠀";"yíwèn";"/question/interrogation/doubt//question/interrogation/doubt";"疑 (doubt)";"Other words using this character: 怀疑 (doubt)";"问 (ask)";"Other words using this character: 问题 (question); 问 (ask); 问候 (greeting); 询问 (inquire); 提问 (question); 学问 (knowledge)";"❈ 她的疑问得到了解答。";"<i>tā de yíwèn dédào le jiědá.</i><br></br>Her questions were answered.";"❈ 我对他的动机产生了疑问。";"<i>wǒ duì tā de dòngjī chǎnshēng le yíwèn.</i><br></br>I have doubts about his motives.";"❈ 他对这个决定提出了疑问。";"<i>tā duì zhège juédìng tíchū le yíwèn.</i><br></br>He raised questions about this decision.";"🐇 蓝曦臣对这个决定表示了疑问。";"<i>lánxīchén duì zhège juédìng biǎoshì le yíwèn.</i><br></br>Lan Xichen expressed doubts about this decision.";"♻❈ 她对这个决定毫无疑问。";"<i>tā duì zhège juédìng háowúyíwèn.</i><br></br>She has no doubt about this decision."
"以来⠀";"yǐlái";"/since (a previous event)//since (a previous event)";"以 (to use)";"Other words using this character: 可以 (can); 以前 (before); 以 (to use); 以为 (think); 以及 (as well as)";"来 (come)";"Other words using this character: 来 (come); 后来 (afterwards); 起来 (beginning); 本来 (original); 从来 (always); 将来 (future); 来自 (come from); 来不及 (there's not enough time); 来得及 (in time); 原来 (original)";"❈ 他们的友谊已经持续了十年以来。";"<i>tāmen de yǒuyì yǐjīng chíxù le shínián yǐlái.</i><br></br>Their friendship has lasted for ten years.";"❈ 这个城市的变化自十年以来就很大。";"<i>zhège chéngshì de biànhuà zì shínián yǐlái jiù hěndà.</i><br></br>The changes in this city have been significant since ten years ago.";"❈ 他的成绩一直很好，自从上学以来就没掉过队。";"<i>tā de chéngjì yīzhí hěn hǎo, zìcóng shàngxué yǐlái jiù méidiào guòduì.</i><br></br>His grades have always been good, and he has never fallen behind since he started school.";"🐇 蓝曦臣的心情一直低落以来，他的弟弟一直在安慰他。";"<i>lánxīchén de xīnqíng yīzhí dīluò yǐlái, tā de dìdi yīzhí zài ānwèi tā.</i><br></br>Since Lan Xichen's mood has been low, his younger brother has been comforting him.";"♻🐇 蓝曦臣的家族一直以来都在房地产领域投资。";"<i>lánxīchén de jiāzú yīzhí yǐlái dōu zài fángdìchǎn lǐngyù tóuzī.</i><br></br>The Lan clan has been investing in the real estate sector all along."
"意外⠀";"yìwài";"/unexpected/accident/mishap/CL:個|个[ge4]//unexpected/accident/mishap/CL:个[gè]";"意 (idea)";"Other words using this character: 意思 (idea); 满意 (satisfied); 同意 (agree); 愿意 (willing); 注意 (pay attention); 得意 (proud); 故意 (deliberately); 生意 (business); 意见 (opinion); 主意 (plan)";"外 (outside)";"Other words using this character: 外 (outside); 另外 (additional); 此外 (besides); 外公 (grandfather); 格外 (especially); 外交 (diplomacy)";"❈ 意外情况发生时，我们要保持冷静。";"<i>yìwài qíngkuàng fāshēng shí, wǒmen yào bǎochí lěngjìng.</i><br></br>When unexpected situations occur, we need to stay calm.";"❈ 他的到来让我感到意外。";"<i>tā de dàolái ràng wǒ gǎndào yìwài.</i><br></br>His arrival caught me by surprise.";"❈ 这次事故是一次意外。";"<i>zhècì shìgù shì yīcì yìwài.</i><br></br>This accident was an unexpected event.";"🐇 江澄的表现总是让人意外。";"<i>jiāngchéng de biǎoxiàn zǒngshì ràng rén yìwài.</i><br></br>Jiang Cheng's performance always surprises people.";"♻🐇 温情擅自处理了一些事务，让大家感到意外。";"<i>wēnqíng shànzìchùlǐ le yīxiē shìwù, ràng dàjiā gǎndào yìwài.</i><br></br>Wen Qing handled some matters without permission, surprising everyone."
"议论⠀";"yìlùn";"/to comment/to talk about/to discuss/discussion/CL:個|个[ge4]//to comment/to talk about/to discuss/discussion/CL:个[gè]";"议 (comment)";"Other words using this character: 会议 (meeting); 建议 (suggest)";"论 (opinion)";"Other words using this character: 讨论 (discuss); 无论 (regardless); 辩论 (debate); 结论 (conclusion); 理论 (theory); 论文 (paper); 争论 (argue)";"❈ 媒体对这个事件进行了广泛的议论。";"<i>méitǐ duì zhège shìjiàn jìnxíng le guǎngfàn de yìlùn.</i><br></br>The media extensively talked about this event.";"❈ 他们正在议论这个问题。";"<i>tāmen zhèngzài yìlùn zhège wèntí.</i><br></br>They are discussing this issue.";"❈ 我们需要进行一场深入的议论。";"<i>wǒmen xūyào jìnxíng yīcháng shēnrù de yìlùn.</i><br></br>We need to have an in-depth discussion.";"🐇 蓝忘机的冷漠引起了众人的议论，但他从不在意。";"<i>lánwàngjī de lěngmò yǐnqǐ le zhòngrén de yìlùn, dàn tā cóngbù zàiyì.</i><br></br>Lan Wangji's indifference has sparked discussions among the people, but he never minds.";"♻❈ 他并不在意别人的议论。";"<i>tā bìng bùzàiyì biéren de yìlùn.</i><br></br>He doesn't care about others' gossip."
"义务⠀";"yìwù";"/duty; obligation (CL:項|项[xiang4])/volunteer (work etc)//duty; obligation (CL:项[xiàng])/volunteer (work etc)";"义 (justice)";"Other words using this character: 意义 (significance)";"务 (affair)";"Other words using this character: 服务员 (waiter); 任务 (mission); 家务 (housework); 商务 (commerce); 业务 (business)";"❈ 他义务参加了社区服务。";"<i>tā yìwù cānjiā le shèqūfúwù.</i><br></br>He volunteered for community service.";"❈ 义务教育是每个孩子的权利。";"<i>yìwùjiàoyù shì měige háizi de quánlì.</i><br></br>Compulsory education is the right of every child.";"❈ 这是我的义务，我会尽力完成。";"<i>zhè shì wǒ de yìwù, wǒhuì jìnlì wánchéng.</i><br></br>This is my duty, and I will do my best to fulfill it.";"🐇 蓝曦臣把帮助他人当成自己的义务。";"<i>lánxīchén bǎ bāngzhù tārén dàngchéng zìjǐ de yìwù.</i><br></br>Lan Xichen considers helping others as his duty.";"♻❈ 法人在法律上享有权利和承担义务。";"<i>fǎrén zài fǎlǜ shàng xiǎngyǒu quánlì hé chéngdānyìwù.</i><br></br>Legal persons have rights and obligations under the law."
"因素⠀";"yīnsù";"/element/factor/CL:個|个[ge4]//element/factor/CL:个[gè]";"因 (cause)";"Other words using this character: 因此 (thus); 原因 (cause); 因而 (therefore)";"素 (plain)";"There are no other HSK words in this level (or before) using this character.";"❈ 这些因素都会影响我们的决定。";"<i>zhèxiē yīnsù dōu huì yǐngxiǎng wǒmen de juédìng.</i><br></br>These factors will all affect our decision.";"❈ 成功的因素有很多。";"<i>chénggōng de yīnsù yǒu hěnduō.</i><br></br>There are many factors for success.";"❈ 这个问题的因素很复杂。";"<i>zhège wèntí de yīnsù hěn fùzá.</i><br></br>The factors of this problem are very complex.";"🐇 金凌的成长环境是塑造他性格的重要因素。";"<i>jīnlíng de chéngzhǎng huánjìng shì sùzào tā xìnggé de zhòngyào yīnsù.</i><br></br>Jin Ling's upbringing is an important element in shaping his character.";"♻❈ 这个案件充满了神秘因素。";"<i>zhège ànjiàn chōngmǎn le shénmì yīnsù.</i><br></br>This case is full of mysterious elements."
"英俊⠀";"yīngjùn";"/handsome//handsome";"英 (hero)";"Other words using this character: 英雄 (hero)";"俊 (handsome)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个城市的男人都很英俊。";"<i>zhège chéngshì de nánrén dōu hěn yīngjùn.</i><br></br>The men in this city are all very handsome.";"❈ 她的丈夫长得很英俊。";"<i>tā de zhàngfu zhǎngde hěn yīngjùn.</i><br></br>Her husband is very handsome.";"❈ 他是一个英俊的年轻人。";"<i>tā shì yīgè yīngjùn de niánqīngrén.</i><br></br>He is a handsome young man.";"🐇 温宁虽然英俊，但他的容颜总是带着一丝忧郁。";"<i>wēnníng suīrán yīngjùn, dàn tā de róngyán zǒngshì dài zhe yīsī yōuyù.</i><br></br>Wen Ning, though handsome, always carries a hint of melancholy in his appearance.";"♻❈ 新郎很英俊，新娘很美丽。";"<i>xīnláng hěn yīngjùn, xīnniáng hěn měilì.</i><br></br>The groom is very handsome, and the bride is very beautiful."
"营养⠀";"yíngyǎng";"/nutrition/nourishment/CL:種|种[zhong3]//nutrition/nourishment/CL:种[zhǒng]";"营 (camp)";"Other words using this character: 夏令营 (summer camp); 经营 (engage in); 营业 (do business)";"养 (raise)";"Other words using this character: 养成 (cultivate); 培养 (to cultivate)";"❈ 母乳是宝宝最好的营养来源。";"<i>mǔrǔ shì bǎobǎo zuìhǎo de yíngyǎng láiyuán.</i><br></br>Breast milk is the best source of nourishment for babies.";"❈ 我们需要摄取各种不同的营养。";"<i>wǒmen xūyào shèqǔ gèzhǒng bùtóng de yíngyǎng.</i><br></br>We need to intake various kinds of nutrition.";"❈ 这种食物含有丰富的营养。";"<i>zhèzhǒng shíwù hányǒu fēngfù de yíngyǎng.</i><br></br>This food contains rich nutrition.";"🐇 魏无羡烹饪的菜肴既美味又富含营养。";"<i>wèiwúxiàn pēngrèn de càiyáo jì měiwèi yòu fùhán yíngyǎng.</i><br></br>The dishes cooked by Wei Wuxian are both delicious and nutritious."
