"爱情⠀";"àiqíng";"/romance; love (romantic)/CL:份[fen4]//romance; love (romantic)/CL:份[fèn]";"爱 (love)";"Other words using this character: 爱 (love); 爱好 (hobby); 可爱 (adorable)";"情 (feelings)";"Other words using this character: 事情 (affair); 热情 (enthusiastic); 感情 (emotion); 情况 (circumstances); 同情 (sympathize); 心情 (mood)";"❈ 他们之间的爱情很美丽。";"<i>tāmen zhījiān de àiqíng hěn měilì.</i><br></br>Their romance is very beautiful.";"❈ 她对爱情有着很多幻想。";"<i>tā duì àiqíng yǒuzhe hěnduō huànxiǎng.</i><br></br>She has a lot of fantasies about love.";"❈ 爱情是一门艺术。";"<i>àiqíng shì yīmén yìshù.</i><br></br>Love is an art.";"❈ 他们的爱情故事感人至深。";"<i>tāmen de àiqínggùshi gǎnrénzhìshēn.</i><br></br>Their love story is deeply moving.";"❈ 她对爱情充满了向往。";"<i>tā duì àiqíng chōngmǎn le xiàngwǎng.</i><br></br>She is full of yearning for romance.";"❈ 爱情是人生中最美好的事情之一。";"<i>àiqíng shì rénshēng zhōng zuì měihǎo de shìqing zhīyī.</i><br></br>Love is one of the best things in life."
"抱歉⠀";"bàoqiàn";"/to be sorry/to feel apologetic/sorry!//to be sorry/to feel apologetic/sorry!";"抱 (hold)";"Other words using this character: 抱 (hold)";"歉 (apologize)";"Other words using this character: 道歉 (apologize)";"❈ 他向她道歉，表示抱歉。";"<i>tā xiàng tā dàoqiàn, biǎoshì bàoqiàn.</i><br></br>He apologized to her, expressing his regret.";"❈ 抱歉，我迟到了。";"<i>bàoqiàn, wǒ chídào le.</i><br></br>Sorry, I'm late.";"❈ 她对自己的行为感到抱歉。";"<i>tā duì zìjǐ de xíngwéi gǎndào bàoqiàn.</i><br></br>She feels sorry for her behavior.";"🐇 魏无羡感到非常抱歉，因为惹了江澄生气。";"<i>wèiwúxiàn gǎndào fēicháng bàoqiàn, yīnwèi rě le jiāngchéng shēngqì.</i><br></br>Wei Wuxian feels very sorry for making Jiang Cheng angry.";"🐇 温情对温宁说了声抱歉。";"<i>wēnqíng duì wēnníng shuō le shēng bàoqiàn.</i><br></br>Wen Qing apologized to Wen Ning.";"♻🐇 金凌講真地说，他对魏无羡的误会很抱歉。";"<i>jīnlíngjiǎng zhēndì shuō, tā duì wèiwúxiàn de wùhuì hěn bàoqiàn.</i><br></br>Jin Ling honestly said that he is sorry for misunderstanding Wei Wuxian."
"报名⠀";"bàomíng";"/to sign up/to enter one's name/to apply/to register/to enroll/to enlist//to sign up/to enter one's name/to apply/to register/to enroll/to enlist";"报 (report)";"Other words using this character: 报纸 (newspaper)";"名 (name)";"Other words using this character: 名字 (name); 有名 (famous); 著名 (famous)";"❈ 你需要在网上报名参加这个课程。";"<i>nǐ xūyào zài wǎngshàng bàomíng cānjiā zhège kèchéng.</i><br></br>You need to sign up for this course online.";"❈ 她报名参加了学校的英语演讲比赛。";"<i>tā bàomíng cānjiā le xuéxiào de yīngyǔyǎnjiǎng bǐsài.</i><br></br>She signed up for the school's English speech competition.";"❈ 明天是最后一天报名参加比赛。";"<i>míngtiān shì zuìhòu yītiān bàomíng cānjiā bǐsài.</i><br></br>Tomorrow is the last day to sign up for the competition.";"🐇 温情报名参加了医学院的培训课程。";"<i>wēnqíng bàomíng cānjiā le yīxuéyuàn de péixùn kèchéng.</i><br></br>Wen Qing registered for the medical school's training course.";"🐇 魏无羡和蓝忘机一起报名参加云深不知处的探险。";"<i>wèiwúxiàn hé lánwàngjī yīqǐ bàomíng cānjiā yúnshēn bùzhī chù de tànxiǎn.</i><br></br>Wei Wuxian and Lan Wangji signed up together for the adventure in the Cloud Recesses.";"♻❈ 这个活动一律需要提前报名。";"<i>zhège huódòng yīlǜ xūyào tíqián bàomíng.</i><br></br>Registration in advance is required for this activity."
"倍⠀";"bèi";"/(two, three etc) -fold/times (multiplier)/double/to increase or multiply//(two, three etc) -fold/times (multiplier)/double/to increase or multiply";"倍 (-fold)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个数字是那个数字的两倍。";"<i>zhège shùzì shì nàgè shùzì de liǎngbèi.</i><br></br>This number is twice that number.";"❈ 这个地方的人口比上个月增加了三倍。";"<i>zhège dìfāng de rénkǒu bǐ shànggèyuè zēngjiā le sānbèi.</i><br></br>The population of this place has tripled compared to last month.";"❈ 他的工资比我的多一倍。";"<i>tā de gōngzī bǐ wǒ de duōyībèi.</i><br></br>His salary is double mine.";"🐇 金凌的力气比常人大了好几倍，是个天生的武林奇才。";"<i>jīnlíng de lìqì bǐcháng réndà le hǎojǐbèi, shì gè tiānshēng de wǔlín qícái.</i><br></br>Jin Ling's strength is several times greater than that of an ordinary person; he is a natural martial arts genius.";"🐇 魏无羡的魔道功力比以前强了好几倍。";"<i>wèiwúxiàn de mó dào gōnglì bǐ yǐqián qiáng le hǎojǐbèi.</i><br></br>Wei Wuxian's demonic cultivation power has increased several times compared to before.";"♻❈ 这个望远镜可以放大十倍。";"<i>zhège wàngyuǎnjìng kěyǐ fàngdà shíbèi.</i><br></br>This telescope can magnify ten times."
"本来⠀";"běnlái";"/original/originally/at first/it goes without saying/of course//original/originally/at first/it goes without saying/of course";"本 (origin)";"Other words using this character: 本 (origin); 笔记本 (notebook)";"来 (come)";"Other words using this character: 来 (come); 后来 (afterwards); 起来 (beginning); 从来 (always); 将来 (future); 来自 (come from); 来不及 (there's not enough time); 来得及 (in time); 原来 (original)";"❈ 本来我不想去，但是还是去了。";"<i>běnlái wǒ bùxiǎng qù, dànshì háishi qù le.</i><br></br>Originally, I didn't want to go, but I still went.";"❈ 他本来是一个好人。";"<i>tā běnlái shì yīgè hǎorén.</i><br></br>He was originally a good person.";"❈ 这个问题的答案本来就很明显。";"<i>zhège wèntí de dáàn běnlái jiù hěn míngxiǎn.</i><br></br>The answer to this question is obvious.";"🐇 蓝曦臣本来是个温文尔雅的人，但在战场上却勇猛无比。";"<i>lánxīchén běnlái shì gè wēnwéněryǎ de rén, dàn zài zhànchǎng shàng què yǒngměng wúbǐ.</i><br></br>Lan Xichen was originally a gentle and refined person, but he was extremely brave on the battlefield.";"🐇 蓝忘机本来不喜欢说话，但在魏无羡面前总是开朗的。";"<i>lánwàngjī běnlái bù xǐhuan shuōhuà, dàn zài wèiwúxiàn miànqián zǒngshì kāilǎng de.</i><br></br>Lan Wangji originally didn't like to talk, but he was always cheerful in front of Wei Wuxian.";"♻❈ 最低工资标准需要根据生活成本来确定。";"<i>zuìdīgōngzī biāozhǔn xūyào gēnjù shēnghuó chéngběn lái quèdìng.</i><br></br>The minimum wage standard needs to be determined based on the cost of living."
"笨⠀";"bèn";"/stupid/foolish/silly/slow-witted/clumsy//stupid/foolish/silly/slow-witted/clumsy";"笨 (stupid)";"There are no other HSK words in this level (or before) using this character.";"❈ 他不笨，只是比较懒惰。";"<i>tā bùbèn, zhǐshì bǐjiào lǎnduò.</i><br></br>He's not stupid, just a bit lazy.";"❈ 别这么笨，这道题很简单。";"<i>bié zhème bèn, zhèdàotí hěn jiǎndān.</i><br></br>Don't be silly, this question is very simple.";"❈ 她笨手笨脚地把东西都弄翻了。";"<i>tā bènshǒubènjiǎo dì bǎ dōngxi dōu nòngfān le.</i><br></br>She clumsily knocked everything over.";"🐇 蓝曦臣虽然温和宽厚，但绝对不是笨蛋，反而是智慧非凡。";"<i>lánxīchén suīrán wēnhé kuānhòu, dàn juéduì bùshì bèndàn, fǎnér shì zhìhuì fēifán.</i><br></br>Although Lan Xichen is gentle and kind, he is definitely not foolish; on the contrary, he is extraordinarily wise.";"🐇 蓝忘机看似冷傲，但绝对不是笨蛋，反而是聪明绝顶。";"<i>lánwàngjī kànsì lěngào, dàn juéduì bùshì bèndàn, fǎnér shì cōngmingjuédǐng.</i><br></br>Lan Wangji may seem aloof, but he is definitely not foolish; on the contrary, he is extremely clever.";"♻🐇 温情挑水的动作非常利索，一点也不笨拙。";"<i>wēnqíng tiāoshuǐ de dòngzuò fēicháng lìsuo, yīdiǎn yě bù bènzhuō.</i><br></br>Wen Qing's action of carrying water is very skillful, not clumsy at all."
"比如⠀";"bǐrú";"/for example/for instance/such as//for example/for instance/such as";"比 (to compare)";"Other words using this character: 比 (to compare); 比较 (comparatively); 比赛 (competition)";"如 (as)";"Other words using this character: 如果 (if); 例如 (for example)";"❈ 我喜欢各种水果，比如苹果、香蕉、橙子等。";"<i>wǒ xǐhuan gèzhǒng shuǐguǒ, bǐrú píngguǒ  xiāngjiāo  chéngzi děng.</i><br></br>I like all kinds of fruits, such as apples, bananas, oranges, and so on.";"❈ 很多人都有自己的爱好，比如画画、唱歌等。";"<i>hěnduō rén dōu yǒu zìjǐ de àihào, bǐrú huàhuà  chànggē děng.</i><br></br>Many people have their own hobbies, such as drawing, singing, and so on.";"❈ 有很多运动可以选择，比如篮球、足球等。";"<i>yǒu hěnduō yùndòng kěyǐ xuǎnzé, bǐrú lánqiú  zúqiú děng.</i><br></br>There are many sports to choose from, such as basketball, football, and so on.";"❈ 我们可以做很多事情，比如旅行、学习和工作。";"<i>wǒmen kěyǐ zuò hěnduō shìqing, bǐrú lǚxíng  xuéxí hé gōngzuò.</i><br></br>We can do many things, such as traveling, studying, and working.";"❈ 我喜欢各种水果，比如苹果、香蕉和橙子。";"<i>wǒ xǐhuan gèzhǒng shuǐguǒ, bǐrú píngguǒ  xiāngjiāo hé chéngzi.</i><br></br>I like all kinds of fruits, such as apples, bananas, and oranges.";"❈ 她有很多爱好，比如画画、唱歌和跳舞。";"<i>tā yǒu hěnduō àihào, bǐrú huàhuà  chànggē hé tiàowǔ.</i><br></br>She has many hobbies, such as painting, singing, and dancing."
"毕业⠀";"bìyè";"/graduation/to graduate/to finish school//graduation/to graduate/to finish school";"毕 (to finish)";"There are no other HSK words in this level (or before) using this character.";"业 (occupation)";"Other words using this character: 作业 (homework); 职业 (occupation); 专业 (specialty)";"❈ 他在哈佛大学毕业。";"<i>tā zài hāfódàxué bìyè.</i><br></br>He graduated from Harvard University.";"❈ 我下个月就要毕业了。";"<i>wǒ xiàgèyuè jiùyào bìyè le.</i><br></br>I will graduate next month.";"❈ 她毕业后去了美国留学。";"<i>tā bìyè hòu qù le měiguó liúxué.</i><br></br>She went to the United States for further study after graduation.";"🐇 温情毕业后，选择了隐居山林。";"<i>wēnqíng bìyè hòu, xuǎnzé le yǐnjū shānlín.</i><br></br>After graduation, Wen Qing chose to live in seclusion in the mountains.";"🐇 江澄毕业后，立志要成为一名出色的江氏家族继承人。";"<i>jiāngchéng bìyè hòu, lìzhì yào chéngwéi yīmíng chūsè de jiāngshì jiāzú jìchéngrén.</i><br></br>After graduation, Jiang Cheng aspired to become an outstanding heir of the Jiang clan.";"♻❈ 毕业典礼将在下个月举行。";"<i>bìyèdiǎnlǐ jiàng zài xiàgèyuè jǔxíng.</i><br></br>The graduation ceremony will be held next month."
"遍⠀";"biàn";"/everywhere/all over/classifier for actions: one time//everywhere; all over; classifier for actions: one time";"遍 (everywhere)";"Other words using this character: 普遍 (universal)";"❈ 她把房间打扫了遍。";"<i>tā bǎ fángjiān dǎsǎo le biàn.</i><br></br>She cleaned the room all over.";"❈ 这个城市我已经去过遍了。";"<i>zhège chéngshì wǒ yǐjīng qùguò biàn le.</i><br></br>I have been everywhere in this city.";"❈ 他把这篇文章读了遍。";"<i>tā bǎ zhè piānwénzhāng dú le biàn.</i><br></br>He read this article all over.";"🐇 温情的医术传遍了百姓之间，受到了大家的尊敬。";"<i>wēnqíng de yīshù chuánbiàn le bǎixìng zhījiān, shòudào le dàjiā de zūnjìng.</i><br></br>Wen Qing's medical skills have spread among the common people and earned everyone's respect.";"🐇 魏无羡的声名已经传遍了整个修真界。";"<i>wèiwúxiàn de shēngmíng yǐjīng chuánbiàn le zhěnggè xiūzhēnjiè.</i><br></br>Wei Wuxian's reputation has spread all over the cultivation world.";"♻❈ 这篇课文很有趣，我读了两遍。";"<i>zhèpiān kèwén hěn yǒuqù, wǒdú le liǎngbiàn.</i><br></br>This text is very interesting, I read it twice."
"标准⠀";"biāozhǔn";"/standard; norm; criterion/(adjective) standard/good; correct; conforming to a standard//standard; norm; criterion/(adjective) standard/good; correct; conforming to a standard";"标 (mark)";"There are no other HSK words in this level (or before) using this character.";"准 (allow)";"Other words using this character: 准备 (preparation); 准确 (accurate); 准时 (on time)";"❈ 这是我们的标准流程。";"<i>zhèshì wǒmen de biāozhǔn liúchéng.</i><br></br>This is our standard procedure.";"❈ 他的工作总是很标准。";"<i>tā de gōngzuò zǒngshì hěn biāozhǔn.</i><br></br>His work is always very standard.";"❈ 这个产品符合国际标准。";"<i>zhège chǎnpǐn fúhé guójìbiāozhǔn.</i><br></br>This product meets international standards.";"🐇 蓝曦臣的行为一直都是符合标准的。";"<i>lánxīchén de xíngwéi yīzhí dōu shì fúhébiāozhǔn de.</i><br></br>Lan Xichen's behavior has always been in line with the standard.";"🐇 魏无羡的标准很高，对自己要求严格。";"<i>wèiwúxiàn de biāozhǔn hěn gāo, duì zìjǐ yāoqiú yángé.</i><br></br>Wei Wuxian has high standards and strict requirements for himself.";"♻❈ 她的法语发音很标准。";"<i>tā de fǎyǔ fāyīn hěn biāozhǔn.</i><br></br>Her French pronunciation is very standard."
"表格⠀";"biǎogé";"/form/table/CL:張|张[zhang1],份[fen4]//form/table/CL:张[zhāng],份[fèn]";"表 (show)";"Other words using this character: 手表 (wristwatch); 表示 (express); 表演 (performance); 表扬 (praise)";"格 (frame)";"Other words using this character: 合格 (meet the standard); 价格 (price); 性格 (nature); 严格 (strict)";"❈ 这份表格包含了所有必要的信息。";"<i>zhèfèn biǎogé bāohán le suǒyǒu bìyào de xìnxī.</i><br></br>This form contains all the necessary information.";"❈ 请填写这份表格。";"<i>qǐng tiánxiě zhèfèn biǎogé.</i><br></br>Please fill out this form.";"❈ 这个表格需要你的签名。";"<i>zhège biǎogé xūyào nǐ de qiānmíng.</i><br></br>This table requires your signature.";"❈ 这份表格包含了所有的信息。";"<i>zhèfèn biǎogé bāohán le suǒyǒu de xìnxī.</i><br></br>This form contains all the information."
"表示⠀";"biǎoshì";"/(of sb) to express; to state; to show/(of sth) to indicate; to signify; to show/expression; manifestation//(of sb) to express; to state; to show/(of sth) to indicate; to signify; to show/expression; manifestation";"表 (show)";"Other words using this character: 手表 (wristwatch); 表格 (form); 表演 (performance); 表扬 (praise)";"示 (show)";"There are no other HSK words in this level (or before) using this character.";"❈ 她的沉默表示了她的不满。";"<i>tā de chénmò biǎoshì le tā de bùmǎn.</i><br></br>Her silence indicated her dissatisfaction.";"❈ 他用微笑表示同意。";"<i>tā yòng wēixiào biǎoshìtóngyì.</i><br></br>He expressed his agreement with a smile.";"❈ 这封信表示了她的感激之情。";"<i>zhè fēngxìn biǎoshì le tā de gǎnjī zhīqíng.</i><br></br>This letter shows her gratitude.";"🐇 温情表示对温宁的思念。";"<i>wēnqíng biǎoshì duì wēnníng de sīniàn.</i><br></br>Wen Qing expressed her longing for Wen Ning.";"🐇 魏无羡表示对蓝忘机的感激之情。";"<i>wèiwúxiàn biǎoshì duì lánwàngjī de gǎnjī zhīqíng.</i><br></br>Wei Wuxian expressed his gratitude to Lan Wangji.";"♻🐇 魏无羡点点头，表示好的。";"<i>wèiwúxiàn diǎndiǎntóu, biǎoshì hǎo de.</i><br></br>Wei Wuxian nodded, indicating ""OK."""
"表演⠀";"biǎoyǎn";"/play/show/performance/exhibition/to perform/to act/to demonstrate/CL:場|场[chang3]//play/show/performance/exhibition/to perform/to act/to demonstrate/CL:场[chǎng]";"表 (show)";"Other words using this character: 手表 (wristwatch); 表格 (form); 表示 (express); 表扬 (praise)";"演 (to perform)";"Other words using this character: 演出 (perform); 演员 (actor)";"❈ 她擅长表演各种角色。";"<i>tā shàncháng biǎoyǎn gèzhǒng juésè.</i><br></br>She is good at performing various roles.";"❈ 他在剧院表演了一出戏剧。";"<i>tā zài jùyuàn biǎoyǎn le yīchū xìjù.</i><br></br>He performed a play at the theater.";"❈ 这个节目的表演非常精彩。";"<i>zhège jiémù de biǎoyǎn fēicháng jīngcǎi.</i><br></br>The performance of this show is very exciting.";"🐇 金凌在云深不知处的庆典上表演了一场精彩的舞蹈。";"<i>jīnlíng zài yúnshēn bùzhī chù de qìngdiǎn shàng biǎoyǎn le yīcháng jīngcǎi de wǔdǎo.</i><br></br>Jin Ling performed a wonderful dance at the Cloud Recesses celebration.";"🐇 魏无羡总是喜欢在聚会上表演一些古怪的把戏。";"<i>wèiwúxiàn zǒngshì xǐhuan zài jùhuì shàng biǎoyǎn yīxiē gǔguài de bǎxì.</i><br></br>Wei Wuxian always likes to perform some quirky tricks at gatherings.";"♻🐇 蓝忘机和魏无羡一起观看了一场戏剧表演。";"<i>lánwàngjī hé wèiwúxiàn yīqǐ guānkàn le yīcháng xìjù biǎoyǎn.</i><br></br>Lan Wangji and Wei Wuxian watched a drama performance together."
"表扬⠀";"biǎoyáng";"/to praise/to commend//to praise/to commend";"表 (show)";"Other words using this character: 手表 (wristwatch); 表格 (form); 表示 (express); 表演 (performance)";"扬 (raise)";"There are no other HSK words in this level (or before) using this character.";"❈ 表扬是一种鼓励。";"<i>biǎoyáng shì yīzhǒng gǔlì.</i><br></br>Praise is a form of encouragement.";"❈ 他们受到了表扬。";"<i>tāmen shòudào le biǎoyáng.</i><br></br>They received praise.";"❈ 老师表扬了她的进步。";"<i>lǎoshī biǎoyáng le tā de jìnbù.</i><br></br>The teacher praised her progress.";"❈ 公司领导表扬了他的工作。";"<i>gōngsī lǐngdǎo biǎoyáng le tā de gōngzuò.</i><br></br>The company leader praised his work.";"❈ 他的努力得到了表扬。";"<i>tā de nǔlì dédào le biǎoyáng.</i><br></br>His efforts were commended.";"❈ 老师表扬了他的进步。";"<i>lǎoshī biǎoyáng le tā de jìnbù.</i><br></br>The teacher praised his progress."
"饼干⠀";"bǐnggān";"/biscuit; cracker; cookie/CL:片[pian4],塊|块[kuai4]//biscuit; cracker; cookie/CL:片[piàn],块[kuài]";"饼 (cake)";"There are no other HSK words in this level (or before) using this character.";"干 (dry)";"Other words using this character: 干净 (clean); 干杯 (Cheers!); 干 (dry)";"❈ 我喜欢吃巧克力饼干。";"<i>wǒ xǐhuan chī qiǎokèlì bǐnggān.</i><br></br>I like to eat chocolate biscuits.";"❈ 他拿了一块饼干。";"<i>tā ná le yīkuài bǐnggān.</i><br></br>He took a piece of cracker.";"❈ 这个饼干很脆。";"<i>zhège bǐnggān hěncuì.</i><br></br>This cookie is very crispy.";"🐇 金凌喜欢吃草莓饼干。";"<i>jīnlíng xǐhuan chī cǎoméi bǐnggān.</i><br></br>Jin Ling likes to eat strawberry cookies.";"🐇 魏无羡拿出一袋饼干，分给了蓝忘机和江澄。";"<i>wèiwúxiàn náchū yīdài bǐnggān, fēngěi le lánwàngjī hé jiāngchéng.</i><br></br>Wei Wuxian took out a bag of biscuits and shared them with Lan Wangji and Jiang Cheng.";"♻🐇 蓝曦臣在厨房里烤了一些饼干。";"<i>lánxīchén zài chúfáng lǐ kǎo le yīxiē bǐnggān.</i><br></br>Lan Xichen baked some cookies in the kitchen."
"并且⠀";"bìngqiě";"/and; besides; moreover; furthermore; in addition//and; besides; moreover; furthermore; in addition";"并 (and)";"There are no other HSK words in this level (or before) using this character.";"且 (and)";"There are no other HSK words in this level (or before) using this character.";"❈ 这个产品性能优秀，并且价格合理。";"<i>zhège chǎnpǐn xìngnéng yōuxiù, bìngqiě jiàgéhélǐ.</i><br></br>This product has excellent performance and a reasonable price.";"❈ 他很聪明，并且很努力。";"<i>tā hěn cōngming, bìngqiě hěn nǔlì.</i><br></br>He is very smart and hardworking.";"❈ 她不仅聪明，并且很有创造力。";"<i>tā bùjǐn cōngming, bìngqiě hěn yǒuchuàngzàolì.</i><br></br>She is not only smart, but also very creative.";"🐇 魏无羡喜欢养兔子，并且还养了一只小鸡。";"<i>wèiwúxiàn xǐhuan yǎng tùzi, bìngqiě huányǎng le yīzhī xiǎojī.</i><br></br>Wei Wuxian likes to raise rabbits, and moreover, he also has a little chicken.";"🐇 魏无羡不但聪明过人，并且机智敏锐，总是能化险为夷。";"<i>wèiwúxiàn bùdàn cōngming guò rén, bìngqiě jīzhì mǐnruì, zǒngshì néng huàxiǎnwéiyí.</i><br></br>Wei Wuxian is not only exceptionally intelligent, but also quick-witted, always able to turn danger into safety.";"♻❈ 他已经意识到了错误并且开始改正。";"<i>tā yǐjīng yìshí dào le cuòwù bìngqiě kāishǐ gǎizhèng.</i><br></br>He has realized the mistake and started to amend it."
"博士⠀";"bóshì";"/doctor/court academician (in feudal China)/Ph.D.//doctor/court academician (in feudal China)/Ph.D.";"博 (ample)";"There are no other HSK words in this level (or before) using this character.";"士 (scholar)";"Other words using this character: 护士 (nurse); 硕士 (master's degree)";"❈ 他的博士论文获得了奖项。";"<i>tā de bóshìlùnwén huòdé le jiǎngxiàng.</i><br></br>His doctoral thesis won an award.";"❈ 他是一位博士生。";"<i>tā shì yīwèi bóshìshēng.</i><br></br>He is a Ph.D. student.";"❈ 她已经取得了博士学位。";"<i>tā yǐjīng qǔdé le bóshìxuéwèi.</i><br></br>She has already obtained a Ph.D. degree.";"🐇 蓝忘机在云深不知处遇到了一位博士。";"<i>lánwàngjī zài yúnshēn bùzhī chù yùdào le yīwèi bóshì.</i><br></br>Lan Wangji encountered a doctor in the depths of the Cloud Recesses.";"🐇 蓝曦臣被封为了朝廷的博士。";"<i>lánxīchén bèi fēng wèile cháotíng de bóshì.</i><br></br>Lan Xichen was appointed as a court academician.";"🦝 她是一位博士，研究领域是动物行为学。";"<i>tā shì yīwèi bóshì, yánjiū lǐngyù shì dòngwù xíngwéixué.</i><br></br>She is a PhD, and her research field is animal behavior."
"不过⠀";"bùguò";"/only/merely/no more than/but/however/anyway (to get back to a previous topic)/cannot be more (after adjectival)//only/merely/no more than/but/however/anyway (to get back to a previous topic)/cannot be more (after adjectival)";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不得不 (have to); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"过 (to pass)";"Other words using this character: 过 (to pass); 过去 ((verb suffix)); 经过 (pass); 难过 (sad); 超过 (surpass); 过程 (process); 通过 (to pass through)";"❈ 这个问题不过是时间的问题。";"<i>zhège wèntí bùguò shì shíjiān de wèntí.</i><br></br>This issue is just a matter of time.";"❈ 这只是一个不过是一个小问题。";"<i>zhè zhǐshì yīgè bùguò shì yīgè xiǎo wèntí.</i><br></br>This is just a small issue.";"❈ 他不过是个普通人。";"<i>tā bùguò shì gè pǔtōngrén.</i><br></br>He is just an ordinary person.";"🐇 金凌不过是个孩子，有时候需要多一点耐心。";"<i>jīnlíng bùguò shì gè háizi, yǒushíhou xūyào duōyīdiǎn nàixīn.</i><br></br>Jin Ling is just a child; sometimes he needs a little more patience.";"🐇 魏无羡不过是个顽劣的小鬼，不必太过在意。";"<i>wèiwúxiàn bùguò shì gè wánliè de xiǎoguǐ, bùbì tàiguò zàiyì.</i><br></br>Wei Wuxian is just a mischievous little devil, no need to take it too seriously.";"♻🐇 蓝曦臣虽然家境优越，但从不过奢侈的生活。";"<i>lánxīchén suīrán jiājìng yōuyuè, dàn cóng bùguò shēchǐ de shēnghuó.</i><br></br>Although Lan Xichen comes from an affluent family, he never lives a luxurious life."
"不得不⠀";"bùdébù";"/have no choice or option but to/cannot but/have to/can't help it/can't avoid//have no choice or option but to/cannot but/have to/can't help it/can't avoid";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"得 (obtain)";"Other words using this character: 得 (obtain); 觉得 (feel); 记得 (remember); 得意 (proud); 获得 (obtain); 来得及 (in time); 值得 (worth)";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不管 (regardless); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"❈ 她不得不放弃自己的梦想。";"<i>tā bùdébù fàngqì zìjǐ de mèngxiǎng.</i><br></br>She has no choice but to give up her dream.";"❈ 他不得不接受这个事实。";"<i>tā bùdébù jiēshòu zhège shìshí.</i><br></br>He has no choice but to accept this fact.";"❈ 我不得不离开这个城市。";"<i>wǒ bùdébù líkāi zhège chéngshì.</i><br></br>I have no choice but to leave this city.";"🐇 蓝曦臣不得不离开云深不知处。";"<i>lánxīchén bùdébù líkāi yúnshēn bùzhī chù.</i><br></br>Lan Xichen had to leave the Cloud Recesses.";"🐇 温宁不得不接受自己已经变成了鬼的事实。";"<i>wēnníng bùdébù jiēshòu zìjǐ yǐjīng biànchéng le guǐ de shìshí.</i><br></br>Wen Ning had no choice but to accept the fact that he had become a fierce corpse.";"♻🐇 蓝忘机为了保护魏无羡，不得不放大招，施展出自己的绝学。";"<i>lánwàngjī wèile bǎohù wèiwúxiàn, bùdébù fàngdà zhāo, shīzhǎn chū zìjǐ de juéxué.</i><br></br>In order to protect Wei Wuxian, Lan Wangji had to bring out the big guns and use his exceptional skills."
"不管⠀";"bùguǎn";"/not to be concerned/regardless of/no matter//not to be concerned/regardless of/no matter";"不 (no)";"Other words using this character: 不 (no); 不客气 (you're welcome); 对不起 (sorry); 不过 (however); 不得不 (have to); 不仅 (not just); 差不多 (almost); 来不及 (there's not enough time); 受不了 (unbearable)";"管 (control)";"Other words using this character: 管理 (manage); 尽管 (despite)";"❈ 不管你做什么，我都支持你。";"<i>bùguǎn nǐ zuò shénme, wǒ dōu zhīchí nǐ.</i><br></br>No matter what you do, I support you.";"❈ 不管天气如何，我们都会进行比赛。";"<i>bùguǎn tiānqì rúhé, wǒmen dōu huì jìnxíng bǐsài.</i><br></br>Regardless of the weather, we will still have the competition.";"🐇 不管别人怎么看，温宁都会永远守护着主人。";"<i>bùguǎn biéren zěnme kàn, wēn níngdū huì yǒngyuǎn shǒuhù zhe zhǔrén.</i><br></br>No matter how others look at it, Wen Ning will always protect his master.";"🐇 不管别人怎么说，魏无羡都会做他认为对的事。";"<i>bùguǎn biéren zěnme shuō, wèiwúxiàn dōu huì zuò tā rènwéi duì de shì.</i><br></br>Regardless of what others say, Wei Wuxian will do what he thinks is right.";"♻❈ 他是个典型的雙標狗，对自己要求严格，对别人却放任不管。";"<i>tā shì gè diǎnxíng de shuāngbiāo gǒu, duì zìjǐ yāoqiú yángé, duì biéren què fàngrènbùguǎn.</i><br></br>He is a typical double standard dog, strict with himself but lenient with others.";"♻🐇 金凌总是喜欢薅羊毛，不管是在市场还是在商店。";"<i>jīnlíng zǒngshì xǐhuan hāo yángmáo, bùguǎn shì zài shìchǎng háishi zài shāngdiàn.</i><br></br>Jin Ling always likes to get the best deal, whether it's in the market or in the store."
