我	wǒ	/I; me; my/
脆皮大学生	cuìpí dàxuéshēng	crispy skin college students
白人饭	báirén fàn	White People’s Food
电子呕吐物	diànzǐ ǒutùwù	Cyber Vomit
显眼包	xiǎn yǎn bāo	Class Clown; Literally meaning “eye-catching,”
貓奴	māo nú	n. Cat+slave
鏟屎官	chǎn shǐ guān	n. Scoop+poo+official
漫改	màn gǎi	Short for 漫畫改編 [màn huà gǎi biān] “adapted from comics / manga.”
國漫	guó màn	n. 國産漫畫 [guó chǎn màn huà] “domestic comics”
上頭姐妹	shàng tóu jiě mèi	n. Intoxicated sisters
上頭	shàng tóu	means “(of alcohol) to go to one’s head
甜寵	tián chǒng	“sweet and pampering” idol dramas which are replete with sweet romantic scenes where the male lead would do anything for the female lead
追星	zhuī xīng	v. To chase stars
菊外人	jú wài rén	n. Ju+outside+person
根本停不下來	gēn běn tíng bú xià lái	<Expression> Absolutely can’t stop
出圈	chū quān	v. Outside+circle
zqsg <Acronym> 真情實感	zhēn qíng shí gǎn	Sincere feelings
xswl <Acronym> 笑死我了	xiào sǐ wǒ le	Laughing to death, LOL, LMFAO
271	èr qī yī	<Acronym> 愛奇藝 [ài qí yì] iQiyi, a Chinese online video platform
dbq <Acronym> 對不起	duì bù qǐ	Sorry.
bhys <Acronym> 不好意思	bù hǎo yì si	Excuse me
sjb <Acronym> 神經病	shén jīng bìng	Crazy.
djll <Acronym> 頂級流量	dǐng jí liú liàng	Top-level web traffic
拍磚	pāi zhuān	v. To hit with a brick
輕拍	qīng pāi	v. To hit gently
這是。。。被黑得最慘的一次	zhè shì…beì hēi de zuì cǎn de yí cì	<Expression> This is the time when… was roasted/humiliated most seriously
原著黨	yuán zhù dǎng	n. The original work party
G點	G diǎn	n. G-spot
技術宅	jì shù zhái	n. Technology+otaku
聊騷	liáo sāo	v. Chat+sex appeal
自帶BGM	Zì dài BGM	v. To possess one’s own background music
彩虹屁	cǎi hóng pì	n. Rainbow fart
大豬蹄子	dà zhū tí zi	Big pig’s foot
已婚少女	yǐ hūn shào nǚ	n. Married teenage girl
暴擊	bào jī	n. <Gaming> critical hit
反差萌	fǎn chā méng	n. Contrast+cuteness
偶遇	ǒu yù	n. Planned “chance encounter
一方有難，八方點贊	yì fāng yǒu nàn, bā fāng diǎn zàn	<Expression> When one region is in trouble, likes come from all sides
你國	nǐ guó	n. Your country
撩	liāo	v. Tantalize/tease/lift up
樓主	lóu zhǔ	n. Building owner
西皮	xī pí	n. West+leather
人設已崩	rén shè yǐ bēng	Character design+already+collapse
王之蔑視	wáng zhī miè shì	n. The King’s contempt
封印	fēng yìn	v. Seal+stamp
很迷	hěn mí	adj. Very strange, weird, or baffling
領盒飯	lǐng hé fàn	v. To receive [one’s] boxed lunch
黃桑	huáng sāng	n. yellow+mulberry
懟天懟地	duǐ tiān duǐ dì	v. Diss+sky+diss+ground
作天作地	zuō tiān zuō dì	v. Overreact+sky+overreact+ground
吧啦吧啦	bā lā bā lā	v. To chatter away
人民幣玩家	rén mín bì wán jiā	n. RMB gamers
叫獸	jiào shòu	n. Roaring+beast
軟妹	ruǎn meì	n. Soft+sister
物料	wù liào	n. Marketing materials that fans use to root for their idols at concerts, art shows, variety shows, etc
笑著活下去	xiào zhe huó xià qù	<Expression> Live on with a hearty laugh
刮鍋底笑	guā guō dǐ xiào	n. Scratch or brush the bottom of a wok+laugh
陌上人如玉，公子世無雙	mò shàng rén rú yù, gōng zǐ shì wú shuāng	<Expression> Back then when they meet on the road, the woman was beautiful like a jade, while the young man was so dashing that he was unrivaled in the whole world
定一個小目標	dìng gè xiǎo mù biāo	<Expression> Set a small goal
表情管理	biǎo qíng guǎn lǐ	n. Facial expression management
脫飯	tuō fàn	v.  To extract [from]+fandom
涼涼	liáng liáng	adj./v. Cool, chilled
賽高	sài gāo	adj. Competition+high
粉頭	fěn tóu	n. Fan+head
霧草	wù cǎo	n. Fog+glass
居老師	jū lǎo shī	n. Teacher Ju
精致	jīng zhì	adj. Exquisite, delicate, refined, elegant
漫威	màn wēi	n. Comics+power
入畫	rù huà	v. Enter+picture
鎮魂女孩	zhèn hún nǚ hái	n. Guardian Girls
定檔	dìng dǎng	v. [Of a movie or TV show] is set to be released or aired
擦媽	cā mā	n. Mother Swipe
母職懲罰	mǔ zhí chěng fá	n. Mother’s role+punishment
地表最強	dì biǎo zuì qiáng	adj. The strongest on the face of the earth
花路	huā lù	n. Flower+road
氪金	kè jīn	v. Krypton+gold
可鹽可甜	kě yán kě tián	adj. Can+salt+can+sweet
微博淪陷	wēi bó lún xiàn	v. [Someone’s] Weibo account+occupied
low	lōu	adj. Showing poor quality or taste or moral standards
入手	rù shǒu	v. Enter+hand
誰還不是小公主咋的	shuí hái bú shì xiǎo gōng zhǔ zǎ di	<Expression> Who is not a little princess
6 (=666)	liù (liù liù liù)	adj. <Gaming terminology> Awesome. Skillful. Adept.
一丟丟	yì diū diū	n. A little
靈魂舞者	líng hún wǔ zhě	n. Soul+dancer
處女臉	chù nǚ liǎn	n. Virgin+face
職業假笑	zhí yè jiǎ xiào	n. Professional fake smile
全靠同行襯托	quán kào tóng háng chèn tuō	<Expression> [This is] entirely thanks to the setoff of industry colleagues [competitors]
尬吹	gà chuī	v. To laud lavishly to the point where even the audience feel embarrassed
慈母笑	cí mǔ xiào	n. The smile of a warm and caring mother
開畫	kāi huà	v. Open+picture
自帶熱搜體質	zì dài rè sōu tǐ zhì	<Expression> Self-contained “trending-search” body type
扣	kòu	v. To knock
廠牌	chǎng pái	n. Factory+plaque
湯老濕	tāng lǎo shī	n. Dirty Teacher Tang
老濕	lǎo shī	n. Always+wet
低分飄過	dī fēn piāo guò	v. To float by with a low score
塞皇	sài huáng	n. Emperor Sai
冬叔	dōng shū	n. Uncle Dong
沖鴨	chōng yā	v. Run+duck
聊天終結者	liáo tiān zhōng jié zhě	n. Chatting+terminator
硬核	yìng hé	adj. Hardcore
sk <Acronym> 生快	shēng kuài	short for 生日快樂 [shēng rì kuài lè] “Happy Birthday”
養成系	yǎng chéng xì	n. Cultivate/develop+series
粉絲濾鏡	fěn sī lǜ jìng	n. Fan filter
求生欲	qiú shēng yù	n. The will to live
太陽女神	tài yáng nǚ shén	Goddess Sun
三石弟弟	sān shí dì dì	n. Three-stone Brother
pyq: Acronym for 朋友圈	péng yǒu quān	“circle of friends
蛙哥	wā gē	n. Frog+brother
度娘	dù niáng	n. Lady Baidu
盛世美顏	shèng shì měi yán	n. Prosperous era+beautiful face
我就笑笑不說話	wǒ jiù xiào xiào bù shuō huà	<Expression> I’ll just smirk and say nothing
史上最。。。	shǐ shàng zuì	n. The most…in history
初心	chū xīn	n. Original+heart
高甜	gāo tián	adj. Highly sweet
NTR <Acronym>	NTR	This acronym is short for the Japanese phrase “Ne To Ra Re” (寝取られ)
公開處刑	gōng kāi chǔ xíng	<Expression> Public penalization
本命	běn mìng	n. Honmei
站臺	zhàn tái	v. Stand+stage
配一臉	pèi yì liǎn	n. Match+a+face
四字弟弟	sì zì dì di	n. Four-character little brother
不按套路出牌	bú àn tào lù chū fā	<Expression> Not dealing the cards by the rules
承包	chéng bāo	v. To contract for
聲控	shēng kòng	n. Voice+freak
嬌嗔	jiāo chēn	v./n./adj
紅紅火火恍恍惚惚	hóng hóng huǒ huǒ huǎng huǎng hū hū	<Expression> Ablaze+dazzled
摩擦摩擦	mó cā mó cā	v. Friction friction
一步兩步， 是魔鬼的步伐	yī bù liǎng bù, shì mó guǐ de bù fá	<Expression> One step, two steps, [it] is the gate of a devil
全程無尿點	quán chéng wú niào diǎn	<Expression> There is not a thing [in this drama/movie/performance] that makes me want to use the restroom
嫉妒使我質壁分離	jì dù shǐ wǒ zhì bì fēn lí	<Expression> Jealousy made me undergo plasmolysis
風騷走位	fēng sāo zǒu weì	n. Flirtatious+walk
土味情話	tǔ weì qíng huà	n. Crude and unsophisticated+words of love
糯	nuò	adj. Glutinous, sticky
搬運	bān yùn	v. To transport
手控	shǒu kòng	n. Hand+freak
顏狗	yán gǒu	n. Face+dog
肉體飯	ròu tǐ fàn	n. Body+fan
能打	néng dǎ	adj. Can+fight
啾咪	jiū mī	This Internet slang term is widely used in “啾咪^
卓伟视角	zhuó wěi shì jiǎo	n. Zhuo Wei’s perspective
賽金花	sài jīn huā	n. Surpass+gold flower
秒懂	miǎo dǒng	v. Second+know
沒眼看	méi yǎn kàn	<Expression> [Having] no eyes to see
願你出走半生，歸來仍是少年	yuàn nǐ chū zǒu bàn shēng, guī lái réng shì shào nián	<Expression> May you remain a teenager even after leaving home half a life time
沙雕	shā diāo	adj./n. Sand+sculpture
流量才是王道	liú liáng cái shì wáng dào	<Expression> Web traffic is the rule
是有多。。。	shì yǒu duō…	<Expression>  Is so… This expression is often used  in the sentence “…is so…” It is often said in disbelief
口耐	kǒu nài	adj. Mouth+resistant
然鵝	rán é	interj. But, nevertheless
怨念	yuàn niàn	n. Grudges, complaints
寄己	jì jǐ	n. Self. This Internet slang term is an alternative to 自己 [zì jǐ] “self, oneself” and mimics the Cantonese accent
大表哥	dà biǎo gē	n. The eldest cousin brother
禁欲	jìn yù	adj. Forbidden+desire
小言	xiǎo yán	n. Romantic fiction
官宣	guān xuān	n. Official announcement
槽點滿滿	cáo diǎn mǎn mǎn	<Expression> Problems worth criticizing or teasing about+full
狗糧猝不及防	gǒu liáng cù bù jí fáng	<Expression> Dog food+unexpected
元氣	yuán qì	n. Vigor, strength, enthusiasm
老板	lǎo bǎn	n. Boss. This Internet slang term is often used to refer to one’s idols, especially those who have companies or personal studios
首先你要有個。。。	shǒu xiān nǐ yào yǒu gè…	<Expression> First you need to have a…This expression is commonly used to throw cold water on people who are planning or fantasizing about something nice
自幹五	zì gàn wǔ	n. Self+do+five
五毛黨	wǔ máo dǎng	n. The 50 Cent Party
老鹿蹣跚	lǎo lù pán shān	<Expression> An old deer staggers
老夫的少女心	lǎo fū de shào nǚ xīn	n. The old man’s (referring to oneself, regardless of the actual gender) teenage-girl heart
一本正經地胡說八道	yì běn zhèng jīng di hú shuō bā dào	<Expression> Talking nonsense with a straight face
不能同意更多	bù néng tóng yì gèng duō	<Expression> Can’t agree more
不轉不是中國人	bù zhuǎn bú shì zhōng guó rén	<Expression> [You are] not a Chinese national if you don’t repost this article
標題黨	biāo tí dǎng	n. Title+party
是中國人就轉	shì zhōng guó rén jiù zhuǎn	<Expression> Repost it if you are a Chinese national
卷西	juǎn xī	n. Curly+west
鋼鐵直男	gāng tiě zhí nán	n. Steel+iron+straight+male
激情小短片	jī qíng xiǎo duǎn pian	n. Passionate little short films
520	wǔ èr líng	n. This Internet slang term means “I love you” because “520” sounds like 我愛你 [wǒ ài nǐ] “I love you
踩	cǎi	v. To stomp
秒刪	miǎo shān	v. Second+delete
爆款	bào kuǎn	n. Hot item
死宅	sǐ zhái	n. Die-hard otaku
中央空調	zhōng yāng kōng tiáo	n. Central air conditioning and heating system
傻麅子	shǎ páo zi	n. Silly roe deer
吐血	tù xiě	v. To vomit blood
眾人皆醉我獨醒	zhòng rén jiē zuì wǒ dú xǐng	<Expression> Everyone is drunk and only I am sober
腦子瓦特了	nǎo zi wǎ tè le	[wǎ tè] <Expression> Brain+Watt
黑出翔	hēi chū xiáng	<Expression> Black+out+shit
糟了，是心動的感覺	zāo le, shì xīn dòng de gǎn jué	<Expression> Shit! [It’s] the feeling of falling in love
糊	hú	v./adj. Of or like paste
得罪造型師	dé zuì zào xíng shī	<Expression> (Of a celebrity) offending the stylist
皮一下很開心	pí yí xià hěn kāi xīn	<Expression> [Of someone] deriving pleasure from being naughty
總攻	zǒng gōng	n. Attack all around
總攻本攻	zǒng gōng běn gōng	n. Attack all around+oneself
歪個樓	wāi gè lóu	<Expression> Slant the building
現充	xiàn chōng	adj./n. Reality+fulfilling
史詩級	shǐ shī jí	adj. Epic poem-level
鵝廠	é chǎng	n. Goose+factory
親親抱抱舉高高	qīn qīn bào bào jǔ gāo gāo	<Expression> Kiss and hug and raise above the head [to show affection]
肥宅	féi zhái	adj./n. Fat+indoorsy
自戳雙目	zì chuō shuāng mù	<Expression> To poke one’s own eyes
緊臟	jǐn zāng	adj. Tight+dirty
幹得漂亮	gàn de piào liang	<Expression> Well done! This expression is sometimes used to praise well-executed pranks or repartee
我們家	wǒ men jiā	n./adj. […Of] our home
救救孩子	jiù jiù hái zi	<Expression> Save the child
司姬	sī jī	n. Female driver
陳大發	chén dà fā	n. Chen+make a big fortune
裝完逼就跑	zhuāng wán bī jiù pǎo	<Expression> Fleeing immediately after showing off or acting like I’m better than I really am
皮	pí	adj. Naughty
某寶	mǒu bǎo	n. Some+treasure
尬舞	gà wǔ	v. Awkward+dance
嫁給了愛情的模樣	jià gěi le ài qíng de mú yàng	<Expression> The appearance of being married to love
昂	áng	interj. This interjection is often used to indicate confusion with a meaning similar to “What?” Also, it can be used at the end of a sentence to emphasize one’s statement
滅霸	miè bà	n. Destroy+tyrant
壯士	zhuàng shì	n. Hero, fighter
隱形貧困人口	yǐn xíng pín kùn rén kǒu	n. The invisible poverty-stricken population, people whose consumption exceeds their income
脫粉	tuō fěn	v. Break away from+fan
抖腿黨	dǒu tuǐ dǎng	n. The leg-shaking gang
戾氣	lì qì	n. Evil tendencies
結石姐	jié shí jiě	n. Sister Calculus
好看的皮囊千篇一律，有趣的靈魂萬裏挑一	hǎo kàn de pí náng qiān piān yí lǜ, yǒu qù de líng hún wàn lǐ tiāo yī	<Expression> Good looks follow a fixed pattern, but it’s rare to find an interesting soul
耐撕	nài sī	adj. Able to endure tearing
磨人的小妖精	mó rén de xiǎo yāo jing	<Expression> Bothersome little elf
舉高高	jǔ gāo gāo	v. Hoist+high+high
送你上熱評	sòng nǐ shàng rè píng	<Expression> Send you to [the section of] hot comments [which are often automatically stuck to the top]
送你上墻	sòng nǐ shàng qiáng	<Expression> Send you onto the wall
QAQ <Emoticon>	QAQ	The emoticon looks like a sad face with a gaping mouth and a pair of teary eyes
流弊	liú bì	adj. Cool, awesome
整段垮掉	zhěng duàn kuǎ diào	<Expression> The whole segment collapses
犬系男	quǎn xì nán	n. Doglike man
狼系男	láng xì nán	n. Wolflike man
貓系男	māo xì nán	n. Catlike man
奶凶奶凶	nǎi xiōng nǎi xiōng	<Expression> Adorably mad
小狼狗	xiǎo láng gǒu	n. Little wolfdog
一本正經地胡說八道	yì běn zhèng jǐng de hú shuō bā dào	<Expression> Talking nonsense with a straight face
這種男友不分留著過年麽	zhè zhǒng nán yǒu bù fēn liú zhe guò nián ma	<Expression> [You don’t] break up with such a boyfriend
炒CP	chǎo CP	v. Hype+CP [Couple]
這位同學，我裝逼的時候，請你不要說話	zhè weì tóng xué, wǒ zhuāng bī de shí hou, qǐng nǐ bú yào shuō huà	<Expression> This fellow student, when I am acting all snotty, please don’t talk [to give me away]
神同步	shén tóng bù	n. Magic simultaneity
粑粑	bǎ bá	n. Poo. Dad
麻麻	mǎ má	n. Sackcloth
杏紅	xìng hóng	n. Apricot pink, yellowish pink
新專	xīn zhuān	n. New album
咆哮教主	páo xiào jiào zhǔ	n. Roaring hierarch
咆哮体	páo xiào tǐ	n. Roaring style
腿玩年	tuǐ wán nián	<Expression> Leg+play+year
天命圈	tiān mìng quān	n. Mandate of Heaven+Circle
小透明	xiǎo tòu míng	n. Little+transparent
秀	xiù	adj. Flamboyant, showy, conspicuous
姨母笑	yí mǔ xiào	n. Aunt+smile
毒唯	dú wéi	n. Poison+only
地圖炮	dì tú pào	n. map+cannon
種子	zhǒng zi	n. Seed. Torrent file
退散	tuì sàn	v. Retreat+dispel
土偶	tǔ ǒu	n. Indigenous & Unrefined+idol
土創	tǔ chuàng	n. Indigenous & Unrefined+create
洗白	xǐ bái	v. Wash+white
洗地	xǐ dì	v. Wash+floor
斯巴達	sī bā dá	adj. Sparta
煞筆	shā bǐ	n. While the original meaning of the word is “ending of a piece of writing;concluding line of an article,” as an Internet slang term, it means “jackass
不喜勿噴	bù xǐ wù pēn	<Expression> If you don’t like [what I’m saying], don’t rant [against me]
何老師	hé lǎo shī	n. Teacher He
陳老師	chén lǎo shī	n. Teacher Chen
腦斧	nǎo fǔ	n. Brain+ax
戰鬥民族	zhàn dòu mín zú	n. Fighting+ethnic group
意不意外？驚不驚喜？	yì bú yì wài? jīng bù jīng xǐ?	<Expression> Was that unexpected? Were you pleasantly surprised? This expression is often used humorously to comment on a surprising plot twist or an unexpected turn of events
炸裂	zhà liè	adj. Explode+shatter
招黑體質	zhāo hēi tǐ zhì	n. Beckon+black+body type
雙標狗	shuāng biāo gǒu	n. Double standard+dog
建國後不許成精	jiàn guó hòu bù xǔ chéng jīng	<Expression> [Of someone or an animal] forbidden to become a goblin after the foundation of the People’s Republic of China
女權癌	nǚ quán ái	n. Feminism+cancer
女權婊	nǚ quán biǎo	n. Feminism+bitch
中華田園女權	zhōng huá tián yuán nǚ quán	n. Chinese rural feminism
跳戲	tiào xì	v. Jump+drama
越努力，越幸運	yuè nǔ lì, yuè xìng yùn	<Expression> The harder you work, the luckier you are
Gay蜜	Gay mì	n. Gay+honey
菇涼	gū liáng	n. Mushroom+cold
課代表	kè dài biǎo	n. Class representative
渣渣輝	zhā zhā huī	n. Trashy+Hui
社會我X哥/姐	shè huì wǒ X gē/jiě	<Expression> Society+my+X+brother
社會	shè huì	adj. Worldly, sophisticated, street-smart
謝耳朵	xiè ěr duo	n. Xie+ear
大清早亡了	dà qīng zǎo wáng le	<Expression> The Qing dynasty is long gone
馬殺雞	mǎ shā jī	n. Horse+kill+chicken
確认過眼神	què rèn guò yǎn shén	<Expression> Confirmed the look in [his/her] eyes
賢者時間 (=賢者模式)	xián zhě shí jiān	n. The virtuous person time = The virtuous person mode.
沒節操	méi jié cāo	adj. [Of someone] stooping low and doing unethical things
高光時刻	gāo guāng shí kè	n. Highlight+moment
錘哥	chuí gē	n. Hammer+brother
腦殘粉	nǎo cán fěn	n. Brain-damaged+fan
暗中觀察	àn zhōng guān chá	v. To observe furtively
這屆…不行	zhè jiè…bù xíng	<Expression> This year’s…are not good
智商稅	zhì shāng shuì	n. IQ tax
偉光正	wěi guāng zhèng	adj. Great, honorable, and correct
白古	bái gǔ	n. White+Gu
黑古	hēi gǔ	n. Black+Gu
麻竹	má zhú	v. Sweet bamboo
馬	mǎ	v. Horse. Bookmarked
不服憋著	bù fú biē zhe	<Expression> If you are not convinced, hold it in
不服來戰	bù fú lái zhàn	<Expression> If you are not convinced, come and fight [come argue with me]
停更	tíng gēng	v. Stop+update
炸毛	zhà máo	v. Explode+hair
男票	nán piào	n. Male+ticket
女票	nǚ piào	n. Female+ticket
票圈	piào quān	n. Ticket+circle
杠鈴般的笑聲	gàng líng bān de xiào shēng	<Expression> Barbell-like laughter
乃們	nǎi men	pronoun. You [guys]
艾特	ài tè	v. To tag [someone on social media]
咖位	kā weì	n. A celebrity’s status in the entertainment industry
C位	C weì	n. C position
趕腳	gǎn jiǎo	n./v. Rush+feet
收圖	shōu tú	v. Collect+pictures
私貨	sī huò	n. Personal+goods
杠精	gàng jīng	n. Bicker+elf
正在提刀趕來的路上	zhèng zài tí dāo gǎn lái de lù shàng	<Expression> [Someone] is carrying a broadsword on his or her way to this place
寄刀片	jì dāo piàn	v. To mail blades [to the screenwriter]
這是一道超綱題	zhè shì yí dào chāo gāng tí	<Expression> This is a question that exceeds the scope of the examination guideline
自帶濾鏡	zì dài lǜ jìng	n. Pre-installed filters
撩騷	liáo sāo	v. titillate+sex appeal
阿姨粉	ā yí fěn	n. Auntie fans
親媽粉	qīn mā fěn	n. Birth mother fans
闊以	kuò yǐ	v. Can, able to
保持围笑	bǎo chí wéi xiào	<Expression> Maintain the smile [to mask one’s true feelings]
開車	kāi chē	v. To drive a car
旋轉跳躍閉著眼	xuán zhuǎn tiào yuè bì zhe yǎn	<Expression> Spin, jump, with eyes closed
皮下	pí xià	n. <ACG> Under the skin
劃掉	huà diào	v. To cross out [a word]
推倒	tuī dǎo	v. To push someone down
初代	chū dài	adj. [Of someone or something] the first generation
開心到飛起	kāi xīn dào fēi qǐ	<Expression> [I’m] so happy that I could fly up
扶墻	fú qiáng	v. To support myself by holding onto the wall
扶我上墻	fú wǒ shàng qiáng	<Expression> Help me get onto the wall
不扶墻就服你	bù fú qiáng jiù fú nǐ	<Expression> I don’t hold onto the wall; I admire you only
奔現	bēn xiàn	v. Run+reality
膨脹	péng zhàng	adj. Big-headed
綠	lǜ	v. Green. To cheat on [one’s partner]
網綠	wǎng lǜ	v. Net+green
今日份	jīn rì fèn	n. Today’s share [of something]
自洽	zì qià	adj. Self-consistent
小奶狗	xiǎo nǎi gǒu	n. Little puppy
白左	bái zuǒ	n./adj. White+leftist
科恩嫂	kē ēn sǎo	n. Coen+sister-in-law
了解一下	liǎo jiě yí xià	<Expression> Get to know it
村	cūn	The village
白起	bái qǐ	n. Bai Qi
李澤言	lǐ zé yán	n. Li Zeyan, one of the main male characters in Love and Producer, a mobile game about dating and relationships
土木三班陳同學	tǔ mù sān bān chén tóng xué	n. Student Chen from Class 3 of Civil Engineering
陳獨秀	chén dú xiù	n. Chen Duxiu
諾蘭黑	nuò lán hēi	n./adj. Nolan+black
陪跑	péi pǎo	v. Accompany+run
賣腐	mài fǔ	v. Sell+gayness
伐木累	fá mù leì	n. Wood+cutting+exhausting
舔屏向	tiǎn píng xiàng	adj. Lick+screen+direction
黑化	hēi huà	v. To become black
大表姐	dà biǎo jiě	n. The eldest cousin sister
甜茶	tián chá	n. Sweet tea
古風	gǔ fēng	n. Ancient style
次元壁	cì yuán bì	n. Dimension+wall
炸號	zhà hào	v. Explode+account
抓馬	zhuā mǎ	adj. Dramatic
活好不粘人	huó hǎo bù nián rén	<Expression> Good at [lovemaking] and not needy
三連	sān lián	n. A string of three [things]
尬黑	gà hēi	v. Embarrassed+vilify
白嫖飯	bái piáo fàn	n. Free+patronize+fan
金主	jīn zhǔ	n. Gold+owner
爸爸	bà ba	n. Dad. This Internet slang term is a humorous nickname for rich men that you wished to have as your parents so that you could have their money
地主家的傻兒子	dì zhǔ jiā de shǎ ér zi	n. The landlord’s silly son
請開始你的表演	qǐng kāi shǐ nǐ de biǎo yǎn	<Expression> Please start your performance
天菜	tiān cài	n. Heavenly dish
辣	là	Equivalent to 那 [nà] n. That
膩害	nì hài	n. Awesome
親測有效	qīn cè yǒu xiào	<Expression> [I’ve] tested it myself; [it’s] effective
雲吸貓	yún xī māo	n. Cloud+sniff+cat
土酷	tǔ kù	adj. Provincial+cool
挽尊	wǎn zūn	v. To save the dignity [for the original poster]
天仙攻	tiān xiān gōng	n. Fairy+attack
主角光環	zhǔ jué guāng huán	n. Main character+halo
狗頭	gǒu tóu	n. Dog+head
空降	kōng jiàng	v. To descend from the sky
世界那麼大，我想去看看	shì jiè nà me dà, wǒ xiǎng qù kàn kàn	<Expression> The world is so big; I want to go take a look at it
斜杠青年	xié gàng qīng nián	n. Slash youth
每一個抖腿愛好者的心裡. 大概都住著一臺縫紉機	měi gè dǒu tuǐ ài hào zhě de xīn lǐ, dà gài dōu zhù zhe yì tái féng rèn jī	<Expression> In the heart of everyone that likes to shake their legs [while sitting] lives a sewing machine
詩和遠方	shī hé yuǎn fāng	<Expression> Poetry and the far-off land
雙標	shuāng biāo	n./adj. Double standard
暴露年齡	bào lù nián líng	v. To give away one’s age
塑料花姐妹情	sù liào huā jiě meì qíng	n. Plastic flowers+sisterhood
背鍋俠	bēi guō xiá	n. Carry+wok+knight
過氣網紅	guò qì wǎng hóng	n. Has-been+Internet celebrity
寶媽	bǎo mā	n. Baby+mom
送分題	sòng fēn tí	n. Send+point+problem
送命題	sòng mìng tí	n. Send+life+problem
不可描述之事	bù kě miáo shù zhī shì	n. The indescribable thing
口嫌體正直	kǒu xián tǐ zhèng zhí	<Expression> Mouth+avoid+body+honest
嘴上說不要，身體卻很誠實	zuǐ shàng shuō bú yào, shēn tǐ què hěn zhèng zhí	<Expression> Another translation of 口嫌體正直 [kǒu xián tǐ zhèng zhí]: Orally [they] say they don’t want it, but [their] bodies are very honest
逃離北上廣	táo lí běi shàng guǎng	<Expression> To flee from Beijing, Shanghai, and Guangzhou
鱸魚	lú yú	n. Bass, any of various North American freshwater fish with lean flesh (especially of the genus Micropterus)
土嗨	tǔ hāi	adj. rustic+excited
腦子瓦特	nǎo zi wǎ tè	<Expression> Brain+Watt
裝逼犯	zhuāng bī fàn	n. Boast+criminal
地域炮	dì yù pào	n./v. Region+cannon
躁起來	zào qǐ lai	<Expression> Get excited
好看的皮囊千篇一律，有趣的靈魂萬裏挑一	hǎo kàn de pí náng qiān piān yí lǜ, yǒu qù de líng hún wàn lǐ tiāo yī	<Expression> Good-looking letter bags all look alike, but interesting souls are one in ten thousand
炮總	pào zǒng	n. Cannon+Boss
老白	lǎo bái	n. Old+White
可以說是	kě yǐ shuō shì	<Expression> It can be said that [very adj
網癮少女	wǎng yǐn shào nǚ	Internet addiction+teenage girl
我下麵給你吃	wǒ xià miàn gěi nǐ chī	<Expression> I will cook some noodles for you to eat
臟辮	zāng biàn	n. Dirty+braids
床上運動	chuáng shàng yùn dòng	n. On the bed+exercise
蠢哭	chǔn kū	v. Foolish+cry
網感	wǎng gǎn	n. Web+sense
殺馬特	shā mǎ tè	adj./n. Kill+horse+special
洗剪吹	xǐ jiǎn chuīand	n. Wash+cut+blow
大吉大利，今晚吃雞	dà jí dà lì, jīn wǎn chī jī	<Expression> Great luck, great profit; eat chicken tonight
高級臉	gāo jí liǎn	n. High-end face
男頻	nán pín	n. Male+channel
女頻	nǚ pín	n. Female+channel
補檔	bǔ dǎng	v. Repair+document
第X彈	dì n dàn	n. No. X shot
果粉	guǒ fěn	n. Fruit+fan
備胎	bèi tāi	n. Spare tire
周冬雨式凝視	zhōu dōng yǔ shì níng shì	<Expression> Zhou Dongyu’s gaze
綠光	lǜ guāng	n. Green light
頭頂一片草原	tóu dǐng yí piàn cǎo yuán	<Expression> Carry a tract of grassland on one’s head
島國	dǎo guó	n. Island nation
科學上網	kē xué shàng wǎng	<Expression> Surf the web scientifically
腦回路清奇	nǎo huí lù qīng qí	<Expression> Brain+loops+refreshing+magical
翻紅	fān hóng	v. Flip+red
走腎	zǒu shèn	adj. Walk+kidney
佛系追星	fó xì zhuì xīng	n. Buddhist+sect+chase+stars
佛系青年	fó xì qīng nián	n. Buddhist+sect+youth
佛系玩家	fó xì wán jiā	n. Buddhist+sect+gamer
佛系分手	fó xì fēn shǒu	n. Buddhist+sect+breakup
佛系	fó xì	n. Buddhist+sect
社會主義巨嬰	shè huì zhǔ yì jù yīng	n. Socialist+gigantic+baby
孔雀	kǒng què	n. Peacock
遇見更好的自己	yù jiàn gèng hǎo de zì jǐ	Meet the better self
實錘	qiú chuí	n. Solid+hammer
求錘得錘	qiú chuí dé chuí	. Beg+hammer+get+hammer
旁友	páng yǒu	n. Beside+friend
胖友	pàng yǒu	n. Fat+friend
撕	sī	v. To tear [the vagina]
米叔	mǐ shū	n. Rice+Uncle
寡姐	guǎ jiě	n. Widow+Sister
土肥圓	tǔ féi yuán	adj. Unsophisticated+fat+round
亂入	luàn rù	v. Randon+enter
栗子	lì zi	n. Chestnut
鬥圖	dòu tú	v. Compete+pictures
母上大人	mǔ shàng dà rén	n. Mother+Her Excellency
父上大人	fù shàng dà rén	n. Father+His Majesty
做一個精致的豬豬女孩	zuǒ yí gè jīng zhì de zhū zhū nǚ hái	<Expression> Be a refined piggy girl
卵巢彩票	luǎn cháo cǎi piào	<Expression> The ovarian lottery
塘主	táng zhǔ	n. [Fish] pond owner
推特	tuī tè	n. Push+special
道友	dào yǒu	n. Fellow Taoist priests
我+可能+ v.+的是假+n.	wǒ kě néng v. de shì jiǎ n.	<Expression> I+probably+v+a fake+n.
油膩	yóu nì	adj. Oily, greasy
